날짜,발전기명,용량_메가와트,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,주소지
2023-05-28,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-05-29,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-05-30,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,105.6,1430.4,2457.6,3552,1699.2,1248,768,950.4,556.8,364.8,124.8,0,0,0,0,0,13257.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-05-31,(군산)영암F1태양광,13.296,0,0,0,0,0,0,259.2,1929.6,4483.2,6345.6,8006.4,8985.6,9571.2,9772.8,9148.8,7737.6,5788.8,2736,864,182.4,0,0,0,0,75811.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-01,(군산)영암F1태양광,13.296,0,0,0,0,0,0,115.2,297.6,931.2,1478.4,1593.6,2179.2,1968,1747.2,2140.8,1257.6,1123.2,1833.6,393.6,28.8,0,0,0,0,17088,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-02,(군산)영암F1태양광,13.296,0,0,0,0,0,0,307.2,1161.6,2140.8,6422.4,9168,9974.4,10464,10281.6,9542.4,7900.8,5875.2,3264,979.2,96,0,0,0,0,77577.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-03,(군산)영암F1태양광,13.296,0,0,0,0,0,19.2,662.4,2601.6,4003.2,6720,9225.6,10118.4,10569.6,10377.6,9552,8121.6,6144,3465.6,969.6,76.8,0,0,0,0,82627.2,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-04,(군산)영암F1태양광,13.296,0,0,0,0,0,0,499.2,1478.4,3763.2,7065.6,7670.4,5635.2,633.6,5337.6,7180.8,6720,5779.2,3331.2,940.8,115.2,0,0,0,0,56150.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-05,(군산)영암F1태양광,13.296,0,0,0,0,0,0,268.8,1027.2,1900.8,2284.8,3609.6,3686.4,4089.6,5212.8,4819.2,4291.2,3456,2198.4,1113.6,67.2,0,0,0,0,38025.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-06-06,(군산)영암F1태양광,13.296,0,0,0,0,0,0,230.4,1056,4137.6,7228.8,6556.8,9724.8,9225.6,9273.6,9254.4,7747.2,5702.4,3273.6,1084.8,134.4,0,0,0,0,74630.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
