날짜,시간,발전기명,설비용량(MW),해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-01-04,04시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,05시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,06시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,07시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,08시,(군산)삼랑진태양광,3.0,0.384,7503.48
2023-01-04,09시,(군산)삼랑진태양광,3.0,275.496,7503.48
2023-01-04,10시,(군산)삼랑진태양광,3.0,963.6120000000001,7503.48
2023-01-04,11시,(군산)삼랑진태양광,3.0,1669.4879999999998,7503.48
2023-01-04,12시,(군산)삼랑진태양광,3.0,2016.252,7503.48
2023-01-04,13시,(군산)삼랑진태양광,3.0,2079.7560000000003,7503.48
2023-01-04,14시,(군산)삼랑진태양광,3.0,1966.284,7503.48
2023-01-04,15시,(군산)삼랑진태양광,3.0,1587.8400000000001,7503.48
2023-01-04,16시,(군산)삼랑진태양광,3.0,879.4559999999999,7503.48
2023-01-04,17시,(군산)삼랑진태양광,3.0,201.64800000000002,7503.48
2023-01-04,18시,(군산)삼랑진태양광,3.0,0.864,7503.48
2023-01-04,19시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,20시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,21시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,22시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,23시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-04,24시,(군산)삼랑진태양광,3.0,0.0,7503.48
2023-01-05,01시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,02시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,03시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,04시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,05시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,06시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,07시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,08시,(군산)삼랑진태양광,3.0,1.8599999999999999,5305.68
2023-01-05,09시,(군산)삼랑진태양광,3.0,205.00799999999998,5305.68
2023-01-05,10시,(군산)삼랑진태양광,3.0,551.244,5305.68
2023-01-05,11시,(군산)삼랑진태양광,3.0,944.8919999999999,5305.68
2023-01-05,12시,(군산)삼랑진태양광,3.0,1419.228,5305.68
2023-01-05,13시,(군산)삼랑진태양광,3.0,1536.4560000000001,5305.68
2023-01-05,14시,(군산)삼랑진태양광,3.0,1456.4160000000002,5305.68
2023-01-05,15시,(군산)삼랑진태양광,3.0,1227.972,5305.68
2023-01-05,16시,(군산)삼랑진태양광,3.0,669.828,5305.68
2023-01-05,17시,(군산)삼랑진태양광,3.0,157.236,5305.68
2023-01-05,18시,(군산)삼랑진태양광,3.0,0.6599999999999999,5305.68
2023-01-05,19시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,20시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,21시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,22시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,23시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-05,24시,(군산)삼랑진태양광,3.0,0.0,5305.68
2023-01-06,01시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,02시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,03시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,04시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,05시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,06시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,07시,(군산)삼랑진태양광,3.0,0.0,6639.84
2023-01-06,08시,(군산)삼랑진태양광,3.0,4.08,6639.84
2023-01-06,09시,(군산)삼랑진태양광,3.0,156.504,6639.84
2023-01-06,10시,(군산)삼랑진태양광,3.0,550.248,6639.84
2023-01-06,11시,(군산)삼랑진태양광,3.0,1115.892,6639.84
2023-01-06,12시,(군산)삼랑진태양광,3.0,1792.716,6639.84
2023-01-06,13시,(군산)삼랑진태양광,3.0,1994.556,6639.84
2023-01-06,14시,(군산)삼랑진태양광,3.0,1918.86,6639.84
