날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-03-31,(군산)영암F1태양광,13.296,01시,0.0,78249.6
2023-04-01,(군산)영암F1태양광,13.296,01시,0.0,71059.2
2023-04-02,(군산)영암F1태양광,13.296,01시,0.0,75177.6
2023-04-03,(군산)영암F1태양광,13.296,01시,0.0,78835.2
2023-04-04,(군산)영암F1태양광,13.296,01시,0.0,22243.2
2023-04-05,(군산)영암F1태양광,13.296,01시,0.0,5904.0
2023-04-06,(군산)영암F1태양광,13.296,01시,0.0,9907.2
2023-04-07,(군산)영암F1태양광,13.296,01시,0.0,60528.0
2023-04-08,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-04-09,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-04-10,(군산)영암F1태양광,13.296,01시,0.0,72979.2
2023-04-11,(군산)영암F1태양광,13.296,01시,0.0,33667.2
2023-04-12,(군산)영암F1태양광,13.296,01시,0.0,84268.8
2023-04-13,(군산)영암F1태양광,13.296,01시,0.0,76636.8
2023-04-14,(군산)영암F1태양광,13.296,01시,0.0,15801.6
2023-04-15,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-04-16,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-04-17,(군산)영암F1태양광,13.296,01시,0.0,70521.6
2023-04-18,(군산)영암F1태양광,13.296,01시,0.0,14419.2
2023-04-19,(군산)영암F1태양광,13.296,01시,0.0,44006.4
2023-04-20,(군산)영암F1태양광,13.296,01시,0.0,77635.2
2023-04-21,(군산)영암F1태양광,13.296,01시,0.0,62697.6
2023-04-22,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-04-23,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-04-24,(군산)영암F1태양광,13.296,01시,0.0,25776.0
2023-04-25,(군산)영암F1태양광,13.296,01시,0.0,10022.4
2023-04-26,(군산)영암F1태양광,13.296,01시,0.0,80400.0
2023-04-27,(군산)영암F1태양광,13.296,01시,0.0,85449.6
2023-04-28,(군산)영암F1태양광,13.296,01시,0.0,46761.6
2023-04-29,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-04-30,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-01,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-02,(군산)영암F1태양광,13.296,01시,0.0,70800.0
2023-05-03,(군산)영암F1태양광,13.296,01시,0.0,26620.8
2023-05-04,(군산)영암F1태양광,13.296,01시,0.0,3916.8
2023-05-05,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-06,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-07,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-08,(군산)영암F1태양광,13.296,01시,0.0,51004.8
2023-05-09,(군산)영암F1태양광,13.296,01시,0.0,85372.8
2023-05-10,(군산)영암F1태양광,13.296,01시,0.0,84086.4
2023-05-11,(군산)영암F1태양광,13.296,01시,0.0,69657.6
2023-05-12,(군산)영암F1태양광,13.296,01시,0.0,48518.4
2023-05-13,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-14,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-15,(군산)영암F1태양광,13.296,01시,0.0,52022.4
2023-05-16,(군산)영암F1태양광,13.296,01시,0.0,80505.6
2023-05-17,(군산)영암F1태양광,13.296,01시,0.0,73900.8
2023-05-18,(군산)영암F1태양광,13.296,01시,0.0,19008.0
2023-05-19,(군산)영암F1태양광,13.296,01시,0.0,70377.6
2023-05-20,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-21,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-22,(군산)영암F1태양광,13.296,01시,0.0,26179.2
2023-05-23,(군산)영암F1태양광,13.296,01시,0.0,83203.2
2023-05-24,(군산)영암F1태양광,13.296,01시,0.0,54432.0
2023-05-25,(군산)영암F1태양광,13.296,01시,0.0,74976.0
2023-05-26,(군산)영암F1태양광,13.296,01시,0.0,42835.2
2023-05-27,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-28,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-29,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-05-30,(군산)영암F1태양광,13.296,01시,0.0,13257.6
2023-05-31,(군산)영암F1태양광,13.296,01시,0.0,75811.2
2023-06-01,(군산)영암F1태양광,13.296,01시,0.0,17088.0
2023-06-02,(군산)영암F1태양광,13.296,01시,0.0,77577.6
2023-06-03,(군산)영암F1태양광,13.296,01시,0.0,82627.2
2023-06-04,(군산)영암F1태양광,13.296,01시,0.0,56150.4
2023-06-05,(군산)영암F1태양광,13.296,01시,0.0,38025.6
2023-06-06,(군산)영암F1태양광,13.296,01시,0.0,74630.4
2023-06-07,(군산)영암F1태양광,13.296,01시,0.0,73593.6
2023-06-08,(군산)영암F1태양광,13.296,01시,0.0,71356.8
2023-06-09,(군산)영암F1태양광,13.296,01시,0.0,72480.0
2023-06-10,(군산)영암F1태양광,13.296,01시,0.0,64608.0
2023-06-11,(군산)영암F1태양광,13.296,01시,0.0,63129.6
2023-06-12,(군산)영암F1태양광,13.296,01시,0.0,68659.2
2023-06-13,(군산)영암F1태양광,13.296,01시,0.0,73747.2
2023-06-14,(군산)영암F1태양광,13.296,01시,0.0,75398.4
2023-06-15,(군산)영암F1태양광,13.296,01시,0.0,81014.4
2023-06-16,(군산)영암F1태양광,13.296,01시,0.0,75561.6
2023-06-17,(군산)영암F1태양광,13.296,01시,0.0,65520.0
2023-06-18,(군산)영암F1태양광,13.296,01시,0.0,66028.8
2023-06-19,(군산)영암F1태양광,13.296,01시,0.0,71270.4
2023-06-20,(군산)영암F1태양광,13.296,01시,0.0,29059.2
2023-06-21,(군산)영암F1태양광,13.296,01시,0.0,17971.2
2023-06-22,(군산)영암F1태양광,13.296,01시,0.0,78019.2
2023-06-23,(군산)영암F1태양광,13.296,01시,0.0,68582.4
2023-06-24,(군산)영암F1태양광,13.296,01시,0.0,63024.0
2023-06-25,(군산)영암F1태양광,13.296,01시,0.0,23856.0
2023-06-26,(군산)영암F1태양광,13.296,01시,0.0,8380.8
2023-06-27,(군산)영암F1태양광,13.296,01시,0.0,39600.0
2023-06-28,(군산)영암F1태양광,13.296,01시,0.0,9417.6
2023-06-29,(군산)영암F1태양광,13.296,01시,0.0,9984.0
2023-06-30,(군산)영암F1태양광,13.296,01시,0.0,17616.0
