년월일,단계,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-02-04,1,111536,4647,6008,1704,6008,1704,2708,1704,3384,2515,3208,2488,3352,2380,2746,4489,5981,5699,5980,5984,5988,6008,5999,5998,5984,5997,5902,5678,5666,5698
2013-02-05,1,32702,1363,5880,0,5880,1,5073,4662,3197,1770,1303,418,0,0,33,37,0,0,38,10,1,0,0,0,0,0,200,4601,5880,5479
2013-02-06,1,128460,5353,6043,3598,6043,3598,5718,5982,6019,5998,6014,6043,5996,5978,5939,5750,5688,5366,5371,5273,5334,5170,5071,4984,4508,4792,5101,4703,3598,4064
2013-02-07,1,121477,5062,6015,3025,6015,3025,3698,3477,3025,3478,4042,4155,4484,4798,5999,5999,6002,6003,6010,6015,5994,6012,5999,5988,6009,6012,4798,4503,4478,4499
2013-02-08,1,93587,3899,6066,1753,6066,1753,4798,4585,3608,2936,3033,3034,2974,3204,5852,5974,6066,5764,5896,5651,5330,4630,2963,2906,2860,2404,2824,2551,1991,1753
2013-02-09,1,64633,2693,4112,1821,4112,1821,2421,2657,3222,3034,3738,4112,3695,2776,2745,3156,3025,1821,1872,2303,2679,2189,2076,2184,2511,2876,2231,2618,2518,2174
2013-02-10,1,39123,1630,3297,811,3297,811,1289,926,1225,1088,1233,2190,2667,3297,2374,1801,1457,983,919,1007,811,1107,1469,1656,2081,2164,2140,1873,1650,1716
2013-02-11,1,90373,3766,5867,0,5867,601,2549,3121,4607,5312,5834,5512,5867,5726,4592,3738,5046,5656,4996,4401,3778,4149,4440,3838,2905,1823,1155,727,601,0
2013-02-12,1,67919,2830,5999,0,5999,30,194,50,0,30,125,0,0,0,0,1638,2089,2715,3288,2089,5398,5999,5968,5984,5999,5986,5993,5410,4472,4492
2013-02-13,1,42793,1783,4456,82,4456,82,4456,4088,3782,3489,3255,2936,2522,2893,3788,2782,1709,431,880,486,286,499,584,666,999,1008,535,399,238,82
2013-02-14,1,4953,206,822,0,822,9,146,431,78,211,310,286,189,297,443,14,12,360,459,248,158,78,20,0,0,9,0,0,382,822
2013-02-15,1,118543,4939,6075,1087,6075,1087,1087,2453,3294,4062,2409,3898,4125,4563,6011,5982,5976,5737,5184,5742,5929,6075,4927,5816,5791,5884,5983,5952,5846,5817
2013-02-16,1,77967,3249,5917,898,5917,898,5685,5789,5917,5854,5908,5690,5371,5056,4880,3374,1720,1279,1872,1882,2266,3074,2472,1829,1472,1589,1640,1379,898,1071
2013-02-17,1,20562,857,1781,19,1781,19,1468,996,20,629,1570,968,841,626,637,491,19,371,684,793,828,1463,1283,1094,1412,1781,1685,547,45,311
2013-02-18,1,108206,4509,6060,116,6060,116,633,116,132,2892,3590,4683,6060,6056,6015,5955,5852,6009,6015,5997,5997,5949,5884,5661,5120,2460,3140,4584,4403,5003
2013-02-19,1,139888,5829,6074,4337,6074,4337,5892,5898,5972,5975,5939,5296,4496,4337,5159,6074,6065,6069,6064,6070,5999,6068,6071,6069,6063,6065,6072,6071,6066,6038
2013-02-20,1,120529,5022,6087,2927,6087,2927,6007,6087,6036,6040,6065,6051,6031,5991,6041,5654,5672,5622,5157,4508,5248,5054,5000,3764,3726,3787,3664,3312,3085,2927
2013-02-21,1,30701,1279,3003,365,3003,365,3003,1375,1755,2405,2619,1523,1202,988,876,1331,1160,850,651,734,721,1121,1778,1806,1677,760,365,534,514,953
2013-02-22,1,24859,1036,3163,108,3163,108,432,609,916,815,469,375,153,125,284,365,159,108,523,523,742,1182,1480,1188,1169,1746,2599,3016,3163,2718
2013-02-23,1,82387,3433,4942,1832,4942,1832,2742,2580,3457,4303,4942,3838,3895,3088,2932,2913,2441,1832,2098,2250,2710,3100,4129,4685,4658,4603,4263,3697,3337,3894
2013-02-24,1,31453,1311,3368,0,3368,100,3368,2778,2890,2783,2759,2188,784,725,1019,1116,1664,1714,2019,1858,914,939,644,256,303,506,100,0,0,126
2013-02-25,1,11558,482,1064,8,1064,8,984,484,490,298,240,260,365,697,276,30,8,91,292,686,877,516,251,845,993,1064,981,282,212,336
2013-02-26,1,30821,1284,4858,0,4858,14,1138,2742,1885,970,1090,441,582,596,466,0,0,0,0,0,171,14,663,1717,2130,3452,2596,1222,4088,4858
2013-02-27,1,88392,3683,5956,564,5956,564,5080,5156,5408,5956,5844,5699,5587,5874,5048,3788,3298,2896,2655,2988,3376,2633,2399,2545,2908,2915,2088,1735,1952,564
2013-02-28,1,67720,2822,5476,0,5476,4,268,551,1105,695,253,10,4,0,609,1816,2632,3177,5028,5166,5440,5075,5455,5085,3108,3379,4787,5476,4780,3821
2013-03-01,1,113595,4733,6004,1207,6004,1207,2658,2055,1207,1533,3452,2975,1966,3955,4099,5789,5999,5987,6004,5999,5987,5996,5987,5986,5998,5998,5989,5988,5990,5998
2013-03-02,1,140798,5867,6008,4977,6008,4977,5999,6008,5999,5998,5997,5994,5998,5996,5994,5992,5996,5993,5998,5996,5999,5964,5738,5755,5583,5484,4977,5998,5599,5743
2013-03-03,1,74507,3104,4816,799,4816,799,4105,3375,3699,3208,3689,4252,4816,4299,4798,4376,3358,3294,3157,2499,2658,2899,2999,3185,2577,2321,1759,1488,897,799
2013-03-04,1,55337,2306,4923,1107,4923,1107,1363,1409,1384,1107,1234,1479,2518,2425,2192,2962,2428,2669,1911,2320,1952,1564,1736,1152,2149,2965,4080,3481,4923,3934
2013-03-05,1,12240,510,3677,0,3677,8,3677,2732,1588,698,274,10,50,588,498,494,772,499,342,10,0,0,8,0,0,0,0,0,0,0
2013-03-06,1,26290,1095,3133,0,3133,20,0,0,20,58,77,135,122,319,608,252,568,1688,1854,1943,1752,1822,1619,1611,1599,1942,1759,1476,1933,3133
2013-03-07,1,58460,2436,5064,0,5064,10,3751,4356,4933,5064,4432,4144,4368,4529,3942,3158,4087,4333,2699,1782,1011,486,50,53,348,442,472,10,0,10
2013-03-08,1,30718,1280,4766,0,4766,10,0,0,0,0,157,548,1799,2451,2534,2842,2477,3864,4766,3051,3038,1658,977,199,248,99,10,0,0,0
2013-03-09,1,78597,3275,5387,0,5387,10,0,0,10,202,411,889,2198,2812,4966,4008,4099,4587,4199,4599,5162,5387,4993,4793,4566,4372,4677,4082,3986,3599
2013-03-10,1,116153,4840,6033,1697,6033,1697,1988,1697,5112,6013,6004,6002,6033,6024,6027,6012,6008,6004,6027,6022,6004,4557,4282,4212,4178,4032,3899,4098,2984,2934
2013-03-11,1,30760,1282,2999,62,2999,62,2999,2987,2986,2932,2822,2634,2675,1312,647,759,628,630,299,498,587,586,384,77,62,366,385,642,1354,1509
2013-03-12,1,45079,1878,3877,105,3877,105,1278,898,725,544,289,105,539,638,200,1168,2726,3064,2497,3248,3877,3682,2433,2654,2823,2206,2209,2283,2432,2561
2013-03-13,1,54482,2270,2995,0,2995,1134,2499,2111,2508,2225,0,0,0,0,1134,2199,2984,2989,2993,2976,2984,2981,2993,2977,2995,2992,2994,2988,2979,2981
2013-03-14,1,35365,1474,2999,0,2999,50,2952,2999,2987,2988,2999,2453,2098,1796,1762,1268,1254,1372,1178,1129,823,948,1276,1355,898,394,50,0,298,88
2013-03-15,1,1153,48,688,0,688,5,5,10,0,0,0,0,0,32,688,375,5,0,0,0,0,0,10,12,8,0,0,8,0,0
2013-03-16,1,1451,60,308,0,308,5,5,102,104,25,50,0,0,88,138,308,106,177,10,77,26,5,24,161,35,10,0,0,0,0
2013-03-17,1,43611,1817,4462,0,4462,120,0,0,0,0,0,0,0,120,384,623,762,1282,1528,1621,1508,1862,3804,4365,4452,4298,3975,4412,4462,4153
2013-03-18,1,34983,1458,4206,0,4206,10,4034,4206,2512,1005,358,504,1077,1599,3278,4092,3912,2664,2299,1233,642,674,493,55,0,10,76,99,97,64
2013-03-19,1,14621,609,1922,0,1922,92,518,346,134,0,0,0,0,0,92,168,472,294,893,852,1368,1834,1922,1157,653,682,982,1172,624,458
2013-03-20,1,57687,2404,4495,0,4495,182,324,3852,0,0,0,0,0,0,0,182,1777,2983,2993,2998,2982,3684,4482,4486,4489,4492,4493,4491,4484,4495
