년월일,단계,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-02-03,1,100162,4173,8100,215,8100,215,4757,7110,7720,7680,7419,6109,5640,2519,1072,215,239,615,1159,1712,1812,1420,1222,3878,5616,5492,6647,8100,5624,6385
2013-02-04,1,200014,8334,11997,1263,11997,1263,2295,1925,3659,1263,3878,3784,7757,9980,10001,11321,11803,11997,10283,8218,9896,11697,11901,11682,9974,9303,9533,8956,9152,9756
2013-02-05,1,30366,1265,9007,0,9007,8,7728,9007,5974,3032,642,189,8,0,14,722,484,143,12,1118,345,0,0,0,0,0,0,0,26,922
2013-02-06,1,189992,7916,11393,4035,11393,4035,8670,8780,8332,9374,9236,8571,7430,8534,11393,10387,8638,9523,7722,6986,7675,7066,7299,9168,4634,4035,7532,7693,4563,6751
2013-02-07,1,222645,9277,11847,2681,11847,2681,4799,3767,3356,2681,5479,5273,6377,8386,9023,11157,11708,11847,11845,11714,11446,11837,11390,11627,11623,11677,11618,11120,11463,11432
2013-02-08,1,167013,6959,11814,676,11814,676,10708,10735,10794,10916,11282,10747,11287,11774,11814,11609,10801,9712,8633,6536,3517,2761,2746,1670,865,676,1280,2420,1932,1798
2013-02-09,1,96227,4009,7931,1241,7931,1241,2977,2833,4193,2295,3413,4440,4066,2376,4038,4014,5939,5355,6846,7316,7931,5483,6134,2337,1603,1241,2071,2811,3587,2928
2013-02-10,1,135655,5652,9851,2027,9851,2027,4123,7727,8848,7214,5489,9225,9851,9554,8428,7004,5235,2805,2126,3498,5485,6867,7069,5493,4646,4936,2078,2027,2375,3552
2013-02-11,1,114788,4783,9756,0,9756,71,6278,8517,7920,4456,6438,9756,9509,7743,8689,4804,4623,6309,5505,4430,3923,4542,5283,2833,2228,931,71,0,0,0
2013-02-12,1,100849,4202,11569,0,11569,2,113,2,0,0,0,34,82,0,0,0,362,1584,5356,3996,6138,8762,9075,7410,9870,11154,11569,10654,7542,7146
2013-02-13,1,77122,3213,8277,206,8277,206,8277,7077,5288,5127,4568,3671,2960,2302,3351,3862,4444,2561,1960,2298,1441,1847,3129,2828,2739,3049,1700,1576,861,206
2013-02-14,1,9953,415,1756,0,1756,143,143,595,907,1756,1707,609,793,965,520,0,0,0,0,0,0,0,0,0,0,0,0,0,451,1507
2013-02-15,1,228645,9527,11993,2707,11993,2707,2707,4814,5217,9197,3958,5716,9192,10644,10146,11683,11896,11993,11811,10982,10382,11052,11069,11031,10925,11325,11289,10668,10589,10359
2013-02-16,1,151778,6324,12000,0,12000,112,10154,9560,10410,11857,11988,12000,11862,10253,10148,9599,6878,9161,8082,6348,4244,2686,1713,2381,1736,465,141,112,0,0
2013-02-17,1,40765,1699,6767,0,6767,98,98,354,669,448,828,2085,2559,1870,1590,1114,0,286,746,364,1683,3015,3943,3743,6767,4533,2603,1467,0,0
2013-02-18,1,144805,6034,11150,477,11150,477,787,477,1822,1274,2925,5642,7117,5702,4192,6508,3984,4568,9334,10559,9896,8728,5811,5125,6044,5504,7681,10050,11150,9925
2013-02-19,1,265103,11046,12003,8429,12003,8429,9811,9074,10602,10731,11694,10108,9945,9864,11409,11995,11933,11624,11301,11520,10170,8429,11204,11976,11988,11851,11960,11928,11983,12003
2013-02-20,1,200225,8343,12004,2154,12004,2154,12004,11995,11806,11817,12000,11990,11809,11942,11836,11507,9975,11821,11046,8424,6624,7016,6077,4859,3051,2154,2546,2825,2563,2538
2013-02-21,1,61789,2575,5827,834,5827,834,1477,2196,3298,3813,3019,1196,834,1982,2040,2431,3362,3036,2826,2908,3893,5827,3406,2780,2460,2602,2251,1819,1325,1008
2013-02-22,1,78383,3266,9099,1207,9099,1207,1207,1781,2164,2341,1775,1976,2570,3419,2823,3031,2954,3062,4639,5964,5941,9071,9099,4099,1779,1278,1572,1693,2105,2040
2013-02-23,1,183489,7645,11806,2703,11806,2703,2703,3841,4374,5496,5711,6943,7228,7822,6403,7940,7632,6906,6296,5030,7104,8988,10854,11757,11806,11646,10012,9293,8090,9614
2013-02-24,1,46887,1954,7054,0,7054,52,3536,4702,6073,7054,4300,2656,1628,1189,1457,2586,3452,2179,2757,1643,1106,517,52,0,0,0,0,0,0,0
2013-02-25,1,3471,145,610,0,610,7,0,0,0,0,0,0,0,0,0,0,0,109,408,491,448,179,7,40,331,454,211,112,71,610
2013-02-26,1,40504,1688,3193,333,3193,333,924,1750,1885,1844,2553,1812,2112,1102,1645,1887,1008,333,551,627,719,615,2229,2320,2625,3193,2562,1418,1722,3068
2013-02-27,1,127505,5313,8733,1358,8733,1358,4391,5119,7775,7245,6801,7497,4784,7203,7102,8733,4508,1565,2155,3335,7392,7311,7014,6615,5666,4089,1867,1358,4053,3927
2013-02-28,1,76988,3208,9138,0,9138,8,115,349,1778,384,198,8,34,0,18,1319,2623,3554,4266,4529,5631,4918,6047,6440,3891,4643,9138,5798,5088,6219
2013-03-01,1,164079,6837,11932,0,11932,203,4525,3985,5052,647,2587,6791,7423,9492,10070,10400,11129,11932,11513,11740,10670,0,0,774,6785,203,4613,9930,11900,11918
2013-03-02,1,267587,11149,12005,7156,12005,7156,11901,11890,11970,11831,11989,12000,12001,12005,11998,11988,11946,11498,11908,11556,11651,11565,10444,9124,7874,11124,11305,11040,9823,7156
2013-03-03,1,170441,7102,11001,2901,11001,2901,4795,4250,4271,4230,4261,4802,7739,2901,4733,5332,6999,10624,8963,9730,9339,7829,9453,10162,7655,6532,6554,9013,9273,11001
2013-03-04,1,129645,5402,11059,1638,11059,1638,11059,10635,10404,8596,6776,5910,5705,8099,4871,2257,3383,4506,4762,6801,6696,6406,4844,3352,1834,1638,2878,3251,2168,2814
2013-03-05,1,42939,1789,5888,0,5888,34,3205,3149,3152,2844,3031,4147,4312,5888,4642,1861,1969,1707,207,753,1482,271,285,0,0,0,0,34,0,0
2013-03-06,1,73414,3059,8594,0,8594,24,0,0,24,0,30,1850,2270,3354,3099,1365,1514,1507,2264,3970,4651,3663,1943,3094,7742,7796,8141,2732,3811,8594
2013-03-07,1,153405,6392,11263,0,11263,29,10874,10385,11263,10714,11183,10953,11048,10992,9703,10807,10259,10434,8887,7856,1696,29,0,332,124,1293,4387,86,100,0
2013-03-08,1,120866,5036,10853,102,10853,102,326,1904,472,102,337,3473,1615,6918,8108,9209,9803,9868,10853,10384,6952,1358,5659,7355,6569,5868,2929,5555,4612,637
2013-03-09,1,143791,5991,10892,0,10892,10,10,0,0,0,253,335,2663,7108,6847,6113,7453,2989,2025,10892,9490,7164,8114,9707,10769,9960,10620,10546,10546,10187
2013-03-10,1,258524,10772,11700,4780,11700,4780,8677,4780,9870,11036,11002,10969,11558,9976,9600,11551,11002,11349,11696,10992,11422,11607,11575,10898,11700,11620,11160,11487,11563,11434
2013-03-11,1,83541,3481,11810,0,11810,228,11457,11612,11810,11799,11741,10906,6005,2585,1082,649,663,612,232,228,602,673,583,302,0,0,0,0,0,0
2013-03-12,1,100943,4206,11294,0,11294,100,0,0,0,0,0,0,0,0,100,2005,2807,2698,4062,6261,7945,6975,4383,6628,10267,11294,10677,8921,6562,9358
2013-03-13,1,233726,9739,11790,3466,11790,3466,10205,10218,8150,7151,6438,3466,3502,6556,11708,11756,11708,11479,11786,11790,11790,11775,11772,11559,11764,10307,9771,9109,9966,10000
2013-03-14,1,77670,3236,9972,0,9972,118,9972,9925,9639,9653,8536,5647,6346,5151,3454,1902,431,414,526,974,1423,1547,1261,627,118,124,0,0,0,0
2013-03-15,1,7999,333,1329,0,1329,4,0,0,0,0,0,0,0,31,1101,1266,1329,232,0,36,85,0,485,777,735,989,512,62,4,355
2013-03-16,1,37574,1566,5535,0,5535,4,1224,1639,3528,3241,5535,5315,4214,2990,1838,1931,1904,1397,879,204,528,292,4,230,30,0,132,519,0,0
2013-03-17,1,111355,4640,11380,0,11380,22,0,0,0,100,84,22,411,1020,1034,2092,2016,6048,8278,9742,7353,3916,4862,5554,6517,7906,11380,11337,10873,10810
2013-03-18,1,136975,5707,11872,20,11872,20,9696,7999,6438,1500,1218,3542,8049,8932,9340,8940,8936,8643,6031,6287,3263,3458,6645,3538,166,381,20,2585,9496,11872
2013-03-19,1,100539,4189,10746,172,10746,172,10746,8782,6748,2227,683,172,400,2373,920,840,1396,1011,2124,3517,5645,5216,5358,7676,5655,3287,7504,7404,9590,1265
2013-03-20,1,137038,5710,9928,0,9928,6,100,937,167,0,6,10,0,0,512,2503,7627,9286,8787,9714,9361,9714,9868,9882,9928,9922,9900,9826,9554,9434
2013-03-21,1,106413,4434,9666,105,9666,105,9381,9666,9594,8023,8131,7766,7287,6542,7316,5203,3735,4846,4302,3700,2118,1647,456,1059,975,105,196,829,1931,1605
2013-03-22,1,85030,3543,9833,0,9833,128,252,534,992,3539,3791,3820,6190,3108,663,128,0,0,0,0,176,1115,7244,8675,7436,3731,6833,7155,9833,9815
2013-03-23,1,82735,3447,9970,0,9970,14,8711,5898,4255,6242,9155,9553,9970,9622,8722,5863,1117,281,1493,403,14,0,0,0,0,168,113,470,501,184
2013-03-24,1,136540,5689,11716,54,11716,54,177,54,66,529,883,2568,556,2032,2154,4038,6361,6451,5592,7739,11519,9748,7874,8014,9210,7825,10599,11716,11023,9812
2013-03-25,1,270350,11265,11841,10315,11841,10315,10315,11786,11753,11634,11343,11691,11841,11440,11013,11232,11472,10793,10964,10944,11123,11056,11006,11491,11120,11157,11514,10897,11678,11087
2013-03-26,1,55218,2301,10857,0,10857,2,9820,10857,9505,7852,6573,4345,2171,1168,302,106,46,2,144,273,522,223,0,258,795,180,0,30,46,0
2013-03-27,1,12879,537,2927,0,2927,38,0,0,0,0,297,458,259,385,244,38,0,291,292,630,1313,722,415,142,0,317,1086,1244,1819,2927
2013-03-28,1,109981,4583,11587,626,11587,626,1395,1328,2945,4878,5819,6981,9648,6756,6159,4261,2895,2418,1872,4041,5335,3191,1689,913,626,2611,6283,7460,8890,11587
2013-03-29,1,193788,8075,10567,4755,10567,4755,9431,10057,8197,10567,6385,6985,7795,9677,9880,6527,5992,8632,10241,7056,6479,6725,10095,9144,8220,8919,8725,6629,4755,6675
2013-03-30,1,17556,732,5117,0,5117,20,5117,3450,2140,226,991,986,360,0,0,20,921,1215,1183,734,159,54,0,0,0,0,0,0,0,0
2013-03-31,1,54142,2256,5865,0,5865,286,0,0,286,3636,2248,2490,2529,2012,3045,4568,5574,5865,3310,4802,3411,3949,1644,1709,315,780,692,484,407,386
2013-04-01,1,40877,1703,3997,0,3997,286,0,504,1211,686,286,780,854,1040,1520,3606,3997,3948,3515,2806,1159,1356,2815,3881,1989,1361,1675,1888,0,0
2013-04-02,1,175757,7323,11990,0,11990,14,0,0,0,14,70,1691,4955,9248,11760,11209,11272,9847,9402,8927,9230,9734,11990,2412,8891,11754,10156,10122,11746,11327
