일자,발전기명,설비용량(MW),위치,방식,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-02-02,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,5280,95040,267840,388320,457920,478080,462720,401760,298560,156000,28800,0,0,0,0,0,0
2021-02-03,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,7200,103200,264960,371520,432480,454560,444960,389280,281760,140640,24960,0,0,0,0,0,0
2021-02-04,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,7200,100800,262080,382560,455040,479520,461760,400800,233760,145920,29280,0,0,0,0,0,0
2021-02-05,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,4800,77280,203040,333120,354720,182400,167040,146400,109920,60000,22080,0,0,0,0,0,0
2021-02-06,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,6720,88800,213600,314880,377280,410400,381120,292320,225600,114240,21600,0,0,0,0,0,0
2021-02-07,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,5760,76800,205440,313440,383040,395040,378720,324000,239520,119520,25440,0,0,0,0,0,0
2021-02-08,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,7680,111840,273120,389760,456480,473280,457920,385920,284640,154080,33600,0,0,0,0,0,0
2021-02-09,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,11040,117600,268320,375840,438240,462720,445920,387840,298560,166080,35520,0,0,0,0,0,0
2021-02-10,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,9120,96000,217920,300960,411360,447360,422400,364320,271680,140640,27840,0,0,0,0,0,0
2021-02-11,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,12480,94080,145440,251040,240480,238080,201120,156960,117600,55680,11520,0,0,0,0,0,0
2021-02-12,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,10080,61440,147360,286080,247200,396480,422880,363840,270240,144480,33120,0,0,0,0,0,0
2021-02-13,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,4800,51360,163200,351360,403200,422880,411360,355200,269760,147360,33600,0,0,0,0,0,0
2021-02-14,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,3840,35040,87840,232320,179520,157920,168960,93120,115200,37920,4800,0,0,0,0,0,0
2021-02-15,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,8640,71040,136320,63840,109440,188640,431520,391680,311520,183360,45600,0,0,0,0,0,0
2021-02-16,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,15360,133920,288000,395520,456000,480480,463680,396960,186720,30720,3840,0,0,0,0,0,0
2021-02-17,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,8640,63360,143520,224640,283200,318720,393120,294240,319200,171840,32160,0,0,0,0,0,0
2021-02-18,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,8160,108960,266880,408000,484800,453120,239040,355200,267840,160320,45600,0,0,0,0,0,0
2021-02-19,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,21600,153120,305760,405120,469440,486720,471360,415680,316320,180000,48000,480,0,0,0,0,0
2021-02-20,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,14880,106560,235200,338880,404160,427200,400800,351840,265440,148800,41280,480,0,0,0,0,0
2021-02-21,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,17280,126240,264480,370080,431520,455040,439680,387840,295680,175680,48960,480,0,0,0,0,0
2021-02-22,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,15840,102240,252000,352320,414240,434400,411840,343680,243360,146880,46080,480,0,0,0,0,0
2021-02-23,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,17280,103200,239520,322080,387360,420000,416640,347040,230400,132480,45120,1440,0,0,0,0,0
2021-02-24,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,13440,91680,184320,246720,180960,128160,127680,209280,217920,94080,19680,0,0,0,0,0,0
2021-02-25,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,2880,7680,48000,53760,98400,109440,60960,53280,29760,12000,1440,0,0,0,0,0,0
2021-02-26,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,12000,89760,225120,310080,388800,355680,313920,330240,220800,109440,30720,0,0,0,0,0,0
2021-02-27,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,11040,99360,183360,211200,306720,482400,458400,349920,257760,155040,43200,960,0,0,0,0,0
2021-02-28,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,4800,43200,175200,308160,219360,156000,112320,111360,55200,36000,11520,480,0,0,0,0,0
2021-03-01,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,0,4320,13920,30720,28800,36960,58080,25440,27360,10080,480,0,0,0,0,0,0
2021-03-02,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,7200,23040,74880,283680,509280,532320,523680,468960,386400,242400,95040,1440,0,0,0,0,0
2021-03-03,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,36480,173760,293760,385920,450240,442560,458880,425280,330240,146880,50400,960,0,0,0,0,0
2021-03-04,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,1920,42720,60000,78720,79680,45120,61440,40800,22560,17760,2400,0,0,0,0,0,0
2021-03-05,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,42240,183360,323520,419520,473280,482880,464640,388320,288480,142080,48000,1440,0,0,0,0,0
2021-03-06,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,41760,125280,240000,350400,361440,330720,258240,272160,228960,105600,25920,0,0,0,0,0,0
2021-03-07,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,21600,90720,224640,365280,352800,364800,261600,353760,271200,126240,52320,2880,0,0,0,0,0
2021-03-08,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,39840,166080,288960,382560,461280,489600,472800,410400,310080,182880,61920,2880,0,0,0,0,0
2021-03-09,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,14400,76800,225600,363840,469920,487200,468480,409920,258720,130080,49920,2880,0,0,0,0,0
2021-03-10,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,46560,176160,310560,413760,470880,483840,464160,407040,309600,185760,64320,3840,0,0,0,0,0
2021-03-11,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,37440,172800,306720,277440,291360,340320,426720,376320,232320,135840,41280,1440,0,0,0,0,0
2021-03-12,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,480,11520,30720,26880,39360,39360,60000,66720,84000,36000,11040,2880,0,0,0,0,0
2021-03-13,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,60960,198240,328800,420480,480480,493440,469920,387840,308640,186720,64320,4320,0,0,0,0,0
2021-03-14,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,39840,177600,295680,408960,482400,513120,492000,440160,338880,206400,73920,5760,0,0,0,0,0
2021-03-15,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,58080,186720,278400,312960,394560,365760,256800,336480,216960,189600,58080,960,0,0,0,0,0
2021-03-16,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,39360,175200,315360,383040,443520,502560,515520,448320,350400,211680,87840,7680,0,0,0,0,0
2021-03-17,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,2400,66240,193440,352800,448320,495840,513120,402240,352800,252000,176160,58560,5280,0,0,0,0,0
2021-03-18,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,1440,63360,202080,338400,430560,492480,513600,489120,363840,338880,212640,76800,2400,0,0,0,0,0
2021-03-19,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,25920,150240,292800,417120,482400,508800,408480,355680,312960,159840,53760,4320,0,0,0,0,0
2021-03-20,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,2400,10560,25440,44160,50880,108000,45120,53760,37440,61920,20640,960,0,0,0,0,0
2021-03-21,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,1920,48960,189120,309120,398400,428160,420480,402720,286080,334560,204480,90720,10080,0,0,0,0,0
2021-03-22,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,1440,93120,248640,387840,486240,538560,556320,540480,484320,384960,245280,89760,7680,0,0,0,0,0
2021-03-23,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,4320,79200,218880,348000,439680,495840,515520,490560,430080,333120,212640,84480,8160,0,0,0,0,0
2021-03-24,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,2880,72960,212160,163680,299040,285600,276000,420480,328800,307680,143040,48000,8160,0,0,0,0,0
2021-03-25,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,5280,93600,232800,358080,444000,492000,507840,494880,436800,350400,227040,86880,9120,0,0,0,0,0
2021-03-26,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,6720,95040,224160,336000,425280,435840,419520,465600,427680,265920,167040,98400,9120,0,0,0,0,0
2021-03-27,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,1920,43680,126240,111840,59520,49920,27840,20640,28800,33600,7200,0,0,0,0,0,0,0
2021-03-28,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,7200,43680,152640,335520,451200,358560,344640,455520,444960,362400,233280,93120,10560,0,0,0,0,0
2021-03-29,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,4800,60000,173760,273600,354720,412320,451680,429120,368160,279360,180960,65760,8640,0,0,0,0,0
2021-03-30,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,7200,59520,145920,271200,237600,378720,489120,472800,431040,346560,228480,93120,11520,0,0,0,0,0
2021-03-31,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,9600,102240,227520,324480,411840,470880,485280,439680,391200,309120,177120,67680,8160,0,0,0,0,0
2021-04-01,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,16800,74400,235200,303360,306240,408960,272160,200160,144000,77760,53280,15840,0,0,0,0,0,0
2021-04-02,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,7200,50400,110880,215520,390720,476160,468000,318240,217440,129600,84480,36960,6240,0,0,0,0,0
2021-04-03,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,21120,38880,40320,54720,53760,58560,46560,31680,16800,11520,2880,0,0,0,0,0,0
2021-04-04,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,29280,48000,35040,28800,60000,60960,86400,77760,66240,58080,24480,1440,0,0,0,0,0
2021-04-05,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,15840,125760,281760,413760,503040,551520,564480,541440,479040,378720,249120,102720,13920,0,0,0,0,0
2021-04-06,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,12000,48480,119520,170400,257760,400320,542880,510240,458880,372000,252000,104640,14880,0,0,0,0,0
2021-04-07,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,17760,126240,272160,389760,464160,503520,517440,498240,446400,362400,238560,97920,12480,0,0,0,0,0
2021-04-08,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,17280,97920,187200,343680,463680,486720,552960,524160,467040,373440,254880,111840,15840,0,0,0,0,0
2021-04-09,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,22080,133920,273120,398880,479520,509760,523200,495360,355680,252000,80640,33120,2880,0,0,0,0,0
2021-04-10,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,20160,127680,270720,395040,423840,425280,468480,493440,441600,341760,234720,98400,15840,0,0,0,0,0
2021-04-11,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,22560,128160,227040,392160,479040,516000,526560,516480,457920,376320,249600,105600,15840,0,0,0,0,0
2021-04-12,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,480,23520,76800,77760,117120,103200,56160,56640,42240,27360,10560,6240,0,0,0,0,0,0
2021-04-13,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,2880,54720,77760,378720,309600,311520,477120,429120,394560,388800,266400,119520,18240,0,0,0,0,0
2021-04-14,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,17760,103200,181440,279840,451200,551040,568800,536160,484800,399360,272160,119520,18240,0,0,0,0,0
2021-04-15,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,26400,142080,238560,378720,432480,460800,425760,373440,325440,217440,198240,122880,19200,0,0,0,0,0
2021-04-16,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,15840,61440,137760,243840,331680,473280,459840,439680,432000,345120,224640,83520,13920,0,0,0,0,0
2021-04-17,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,22560,125280,271680,386880,438720,523680,510720,512640,482400,352800,260160,120960,20640,0,0,0,0,0
2021-04-18,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,22560,129120,316320,439680,520800,565440,573600,540480,480960,390240,272160,121440,20640,0,0,0,0,0
2021-04-19,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,34560,162240,312480,432000,512640,552480,562080,533760,477120,381600,258240,113760,20160,0,0,0,0,0
2021-04-20,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,33120,145440,284160,397440,469920,483360,514560,486240,439680,328320,240480,108000,20640,0,0,0,0,0
2021-04-21,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,480,33120,146400,261120,377280,444480,466080,432000,421920,264480,236640,155040,65280,20640,0,0,0,0,0
