날짜,설비용량(MW),경도,위도,발전기명,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계
2024-06-26,1,37.05075,126.5103,당진태양광,0,0,0,0,0,0,"2,784","45,312","199,488","410,880","541,152","621,504","666,720","673,152","647,328","567,264","441,120","280,512","111,360","4,608",0,0,0,0,"5,213,184 "
2024-06-27,1,37.05075,126.5103,당진태양광,0,0,0,0,0,0,"4,416","64,800","205,824","301,248","378,432","447,744","381,120","333,312","258,816","362,784","346,848","294,624","115,968","5,856",0,0,0,0,"3,501,792 "
2024-06-28,1,37.05075,126.5103,당진태양광,0,0,0,0,0,0,"19,104","67,776","179,232","400,896","535,104","621,792","668,832","676,320","636,864","557,280","435,744","267,936","106,944","4,032",0,0,0,0,"5,177,856 "
2024-06-29,1,37.05075,126.5103,당진태양광,0,0,0,0,0,0,"26,880","96,960","216,576","349,728","413,856","561,312","566,880","476,640","510,624","131,232","91,392","12,192",0,0,0,0,0,0,"3,454,272 "
2024-06-30,1,37.05075,126.5103,당진태양광,0,0,0,0,0,0,"3,072","2,208","81,792","244,512","398,400","461,664","624,768","670,080","537,408","395,616","364,128","254,688","115,008","10,944",0,0,0,0,"4,164,288 "
2022-04-01,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,3840,52800,215040,421440,601920,712320,762240,788160,757440,644160,436800,213120,33600,0,0,0,0,0,5642880
2022-04-02,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,4800,56640,224640,421440,585600,700800,762240,776640,742080,612480,359040,138240,42240,0,0,0,0,0,5426880
2022-04-03,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,4800,58560,218880,409920,576000,692160,747840,765120,723840,613440,417600,198720,32640,0,0,0,0,0,5459520
2022-04-04,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,4800,60480,221760,411840,576000,688320,750720,768960,737280,625920,424320,205440,32640,0,0,0,0,0,5508480
2022-04-05,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,6720,75840,216960,381120,526080,578880,669120,676800,617280,460800,323520,127680,24960,0,0,0,0,0,4685760
2022-04-06,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,0,23040,109440,171840,444480,675840,740160,747840,703680,604800,420480,203520,26880,0,0,0,0,0,4872000
2022-04-07,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,0,40320,196800,407040,579840,698880,753600,761280,720960,609600,426240,202560,34560,0,0,0,0,0,5431680
2022-04-08,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,6720,61440,219840,410880,575040,689280,740160,740160,696960,599040,428160,211200,37440,0,0,0,0,0,5416320
2022-04-09,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,9600,43200,127680,361920,538560,616320,688320,670080,662400,550080,358080,166080,30720,0,0,0,0,0,4823040
2022-04-10,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,6720,63360,208320,388800,540480,640320,692160,699840,672960,576000,416640,202560,33600,0,0,0,0,0,5141760
2022-04-11,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,6720,64320,182400,377280,548160,624960,559680,633600,669120,565440,400320,197760,37440,0,0,0,0,0,4867200
2022-04-12,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,1920,46080,104640,178560,305280,634560,695040,571200,554880,396480,306240,26880,0,0,0,0,0,0,3821760
2022-04-13,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,0,3840,4800,47040,39360,31680,37440,63360,44160,23040,34560,16320,2880,0,0,0,0,0,348480
2022-04-14,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,0,7680,32640,67200,112320,366720,682560,706560,470400,596160,426240,204480,44160,0,0,0,0,0,3717120
2022-04-15,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,9600,66240,240000,432000,582720,679680,742080,760320,724800,614400,420480,163200,25920,0,0,0,0,0,5461440
2022-04-16,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,12480,78720,239040,427200,574080,699840,720000,719040,727680,630720,466560,242880,49920,0,0,0,0,0,5588160
2022-04-17,1,37.05075,126.5103,당진화력수상태양광,0,0,0,0,0,0,12480,75840,239040,425280,580800,684480,736320,749760,713280,600960,418560,175680,29760,0,0,0,0,0,5442240
