파일명,구간,발전소,호기,평균 발전효율(%),최대 발전효율(%),최소 발전효율(%)
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,3/10,부산본부,1,5.692354501591368,9.483290816326532,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,4/10,부산본부,1,5.781742579935956,9.523852040816326,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,4/10,부산본부,2,14.397821935398902,27.038844621513945,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,5/10,부산본부,1,5.403049767811316,9.469132653061225,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,5/10,부산본부,2,13.319290004162454,26.477091633466138,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,6/10,부산본부,1,5.732241090466037,9.404081632653059,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,6/10,부산본부,2,14.857602524035595,26.145418326693225,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,7/10,부산본부,1,5.528580593914213,9.232270408163265,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,7/10,부산본부,2,14.945795920794433,25.138446215139442,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,8/10,부산본부,1,5.353290054827901,9.0577806122449,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,8/10,부산본부,2,14.249740558723193,24.2211155378486,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,9/10,부산본부,1,4.691405581693756,8.659438775510203,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,9/10,부산본부,2,10.433977522744842,23.444223107569716,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,10/10,부산본부,1,5.066409419851026,8.726785714285713,0.0
한국남부발전(주)_부산본부 태양광발전실적_20250228.csv,10/10,부산본부,2,13.165400711693286,24.513944223107572,0.1404382470119522
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,1/10,부산수처리장,1,14.439600520060289,24.327327327327325,0.0
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,2/10,부산수처리장,1,15.250112181146662,25.61261261261262,0.4354354354354355
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,3/10,부산수처리장,1,13.135181158169665,23.468468468468465,0.13213213213213215
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,4/10,부산수처리장,1,14.605594099846973,25.603603603603602,0.08408408408408409
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,5/10,부산수처리장,1,10.63670567118843,24.891891891891895,0.10510510510510511
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,6/10,부산수처리장,1,13.673995834915376,25.144144144144143,0.03903903903903904
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,7/10,부산수처리장,1,14.498164831498165,25.849849849849853,1.6186186186186182
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,8/10,부산수처리장,1,4.132258695477086,22.270270270270274,0.0
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,9/10,부산수처리장,1,15.507553530542035,25.297297297297295,0.2222222222222222
한국남부발전(주)_부산수처리장 태양광발전실적_20250228.csv,10/10,부산수처리장,1,15.338574529585765,24.6996996996997,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,1/10,부산신항,1,11.572347728162946,24.43652173913043,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,2/10,부산신항,1,12.331828241284763,23.689999999999998,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,3/10,부산신항,1,11.811792009400705,24.293913043478256,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,4/10,부산신항,1,11.47014492753623,24.469565217391303,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,5/10,부산신항,1,10.036611829220526,22.838260869565215,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,6/10,부산신항,1,11.662475518997258,24.026086956521738,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,7/10,부산신항,1,10.927369761065414,22.56521739130435,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,8/10,부산신항,1,11.025470035252646,23.021739130434785,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,9/10,부산신항,1,8.149285154719937,18.352173913043476,0.0
한국남부발전(주)_부산신항 태양광발전실적.csv,10/10,부산신항,1,10.293332033534803,21.934782608695656,0.0
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,1/10,부산운동장,1,60.850737319227214,99.5755968169761,0.0
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,2/10,부산운동장,1,62.199660558756875,104.0583554376658,2.9840848806366047
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,3/10,부산운동장,1,55.40753274998221,93.48806366047747,0.9416445623342176
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,4/10,부산운동장,1,62.94597396262082,103.56763925729445,0.0
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,5/10,부산운동장,1,63.08119149974084,104.9602122015915,3.0636604774535807
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,6/10,부산운동장,1,59.67224610506418,99.27055702917772,0.0
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,7/10,부산운동장,1,60.657896074067295,100.9814323607427,6.724137931034484
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,8/10,부산운동장,1,57.94439871134282,102.9840848806366,0.0
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,9/10,부산운동장,1,60.29269185036129,99.81432360742708,1.326259946949602
한국남부발전(주)_부산운동장 태양광발전실적_20250228.csv,10/10,부산운동장,1,58.237663795587075,96.44562334217505,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,1/10,삼척소내,1,15.441349846578607,28.330330330330327,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,1/10,삼척소내,2,16.723976929414995,28.936363636363637,0.6393939393939394
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,1/10,삼척소내,3,14.136118719989685,27.231518481518478,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,2/10,삼척소내,1,15.616552642868433,27.84684684684685,0.16216216216216214
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,2/10,삼척소내,2,16.744905660377356,28.639393939393937,0.7242424242424242
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,2/10,삼척소내,3,16.012530702380324,28.029470529470522,0.8991008991008992
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,2/10,삼척소내,4,14.205236161517423,24.964409388226237,0.845517506733359
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,3/10,삼척소내,1,16.62238187554643,28.38738738738738,0.5225225225225225
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,3/10,삼척소내,2,17.278710837185415,28.615151515151517,1.1090909090909091
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,3/10,삼척소내,3,16.332698022316666,27.988261738261738,1.2512487512487513
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,3/10,삼척소내,4,16.880979320599188,28.210850327048863,1.197575990765679
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,4/10,삼척소내,1,15.213658573828067,29.042042042042045,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,4/10,삼척소내,2,15.980718578186934,28.72727272727273,0.8272727272727274
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,4/10,삼척소내,3,14.805845637413432,27.737262737262743,1.0639360639360638
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,4/10,삼척소내,4,15.14086252209129,27.737591381300497,1.1456329357445167
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,5/10,삼척소내,1,15.482452791774826,28.321321321321317,1.207207207207207
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,5/10,삼척소내,2,15.8365562403698,28.384848484848487,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,5/10,삼척소내,3,15.967023482846267,27.422577422577426,1.8169330669330668
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,5/10,삼척소내,4,15.984631474947992,27.512504809542133,1.6362062331666025
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,6/10,삼척소내,1,17.036990380210717,28.225225225225227,0.39339339339339335
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,6/10,삼척소내,2,17.856009244992297,28.68181818181818,1.3878787878787882
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,6/10,삼척소내,3,15.770505977073775,27.317682317682323,1.461038961038961
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,6/10,삼척소내,4,17.166656114084777,27.599076567910735,1.1918045402077722
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,7/10,삼척소내,1,14.316613223392887,25.92192192192192,0.003003003003003003
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,7/10,삼척소내,2,14.892013353877763,26.23333333333333,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,7/10,삼척소내,3,12.916844807734641,25.358391608391607,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,7/10,삼척소내,4,13.667963822502323,26.060984994228548,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,8/10,삼척소내,1,15.902256687066812,27.15315315315315,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,8/10,삼척소내,2,15.909742999616418,27.854545454545455,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,8/10,삼척소내,3,16.381891413671074,27.077922077922068,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,8/10,삼척소내,4,15.64279223596637,26.467872258560988,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,9/10,삼척소내,1,15.616060976230466,27.612612612612615,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,9/10,삼척소내,2,16.38000770416025,28.257575757575754,0.0
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,9/10,삼척소내,3,15.410586249193843,28.28421578421578,0.01123876123876124
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,9/10,삼척소내,4,15.678169895853033,27.786648711042712,0.008657175836860332
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,10/10,삼척소내,1,14.263250592364516,24.624624624624627,0.07207207207207207
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,10/10,삼척소내,2,15.08129395218003,25.0030303030303,0.27575757575757576
한국남부발전(주)_삼척소내 태양광발전실적_20250228.csv,10/10,삼척소내,3,13.98666207210511,24.16333666333666,0.3671328671328672
