날짜,발전기명,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계
2024-01-01,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,0,0,14463,44113,80271,177897,179343,219117,146078,41220,723,0,0,0,0,0,0,903225
2024-01-02,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,5062,45559,88948,185852,206823,441126,417262,337715,136677,43389,723,0,0,0,0,0,0,1909136
2024-01-03,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,0,18079,57129,193083,308788,305896,471499,378935,180066,47005,1446,0,0,0,0,0,0,1961926
2024-01-04,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,36881,144632,298664,410031,496809,506934,413646,200315,65807,1446,0,0,0,0,0,0,2576611
2024-01-05,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,723,31819,99073,279862,394844,444019,425217,326867,155479,47728,1446,0,0,0,0,0,0,2207077
2024-01-06,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,2169,37604,142462,297941,420155,503318,509103,422324,201761,67977,1446,0,0,0,0,0,0,2606260
2024-01-07,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,36881,143908,308065,438234,524289,543092,452697,214055,76655,2169,0,0,0,0,0,0,2741491
2024-01-08,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,37604,143908,281308,384720,515612,532967,449081,203207,75932,2893,0,0,0,0,0,0,2628678
2024-01-09,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,0,11571,21695,65084,184405,227072,214778,150417,74485,47728,1446,0,0,0,0,0,0,998681
2024-01-10,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,0,47005,139569,269738,364472,403522,330483,190191,138123,40497,2169,0,0,0,0,0,0,1925769
2024-01-11,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,41220,147524,292879,418708,489578,505487,446912,206100,78824,2893,0,0,0,0,0,0,2631571
2024-01-12,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,38327,143908,299387,422324,493194,504764,424494,208269,80271,2893,0,0,0,0,0,0,2619277
2024-01-13,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,36881,142462,300111,427386,509826,522843,451251,214778,83886,3616,0,0,0,0,0,0,2694486
2024-01-14,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,35435,139569,284924,393398,387613,286371,187298,172835,62192,2893,0,0,0,0,0,0,1953974
2024-01-15,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,41943,137400,262506,365918,493194,507657,441849,216947,90395,4339,0,0,0,0,0,0,2563594
2024-01-16,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,1446,37604,143185,304449,383997,506211,526459,473668,232857,95457,3616,0,0,0,0,0,0,2708949
2024-01-17,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,2169,19525,25311,40497,36881,23141,19525,28926,104858,48452,2169,0,0,0,0,0,0,351454
2024-01-18,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,0,1446,34712,63638,88948,78101,8678,13740,14463,5062,0,0,0,0,0,0,0,308788
2024-01-19,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,0,1446,12294,26034,38327,44113,37604,23864,25311,4339,0,0,0,0,0,0,0,213332
2024-01-20,동해 바이오 연료저장고 지붕태양광,0,0,0,0,0,0,0,0,2169,13017,28203,42666,33988,34712,48452,18079,5785,0,0,0,0,0,0,0,227071
