날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh),주소지
2023-02-24,장흥풍력,18.0,01시,2931.682,158344.1,전남 장흥군 유치면 용문리 산4번지 외 57필지
2023-02-25,장흥풍력,18.0,01시,11355.025,239437.579,전남 장흥군 유치면 용문리 산4번지 외 58필지
2023-02-26,장흥풍력,18.0,01시,5011.484,92782.603,전남 장흥군 유치면 용문리 산4번지 외 59필지
2023-02-27,장흥풍력,18.0,01시,201.038,2016.165,전남 장흥군 유치면 용문리 산4번지 외 60필지
2023-02-28,장흥풍력,18.0,01시,251.659,15685.295,전남 장흥군 유치면 용문리 산4번지 외 61필지
2023-03-01,장흥풍력,18.0,01시,175.004,94672.937,전남 장흥군 유치면 용문리 산4번지 외 62필지
2023-03-02,장흥풍력,18.0,01시,11019.48,203962.346,전남 장흥군 유치면 용문리 산4번지 외 63필지
2023-03-03,장흥풍력,18.0,01시,6640.036,88168.857,전남 장흥군 유치면 용문리 산4번지 외 64필지
2023-03-04,장흥풍력,18.0,01시,3890.589,25741.527,전남 장흥군 유치면 용문리 산4번지 외 65필지
2023-03-05,장흥풍력,18.0,01시,1141.143,6894.587,전남 장흥군 유치면 용문리 산4번지 외 66필지
2023-03-06,장흥풍력,18.0,01시,396.291,6773.098,전남 장흥군 유치면 용문리 산4번지 외 67필지
2023-03-07,장흥풍력,18.0,01시,85.333,27728.767,전남 장흥군 유치면 용문리 산4번지 외 68필지
2023-03-08,장흥풍력,18.0,01시,3011.229,47677.8,전남 장흥군 유치면 용문리 산4번지 외 69필지
2023-03-09,장흥풍력,18.0,01시,3757.528,48165.207,전남 장흥군 유치면 용문리 산4번지 외 70필지
2023-03-10,장흥풍력,18.0,01시,264.676,15326.609,전남 장흥군 유치면 용문리 산4번지 외 71필지
2023-03-11,장흥풍력,18.0,01시,726.051,23007.99,전남 장흥군 유치면 용문리 산4번지 외 72필지
2023-03-12,장흥풍력,18.0,01시,14.463,95999.214,전남 장흥군 유치면 용문리 산4번지 외 73필지
2023-03-13,장흥풍력,18.0,01시,7364.64,118476.404,전남 장흥군 유치면 용문리 산4번지 외 74필지
2023-03-14,장흥풍력,18.0,01시,157.648,45440.349,전남 장흥군 유치면 용문리 산4번지 외 75필지
2023-03-15,장흥풍력,18.0,01시,3631.699,54403.169,전남 장흥군 유치면 용문리 산4번지 외 76필지
2023-03-16,장흥풍력,18.0,01시,5947.251,165348.607,전남 장흥군 유치면 용문리 산4번지 외 77필지
2023-03-17,장흥풍력,18.0,01시,1588.055,11168.448,전남 장흥군 유치면 용문리 산4번지 외 78필지
2023-03-18,장흥풍력,18.0,01시,633.486,134189.18,전남 장흥군 유치면 용문리 산4번지 외 79필지
2023-03-19,장흥풍력,18.0,01시,9215.924,57408.613,전남 장흥군 유치면 용문리 산4번지 외 80필지
2023-03-20,장흥풍력,18.0,01시,0.0,7238.811,전남 장흥군 유치면 용문리 산4번지 외 81필지
2023-03-21,장흥풍력,18.0,01시,0.0,22582.776,전남 장흥군 유치면 용문리 산4번지 외 82필지
2023-03-22,장흥풍력,18.0,01시,2665.56,76787.798,전남 장흥군 유치면 용문리 산4번지 외 83필지
2023-03-23,장흥풍력,18.0,01시,3024.246,57410.057,전남 장흥군 유치면 용문리 산4번지 외 84필지
2023-03-24,장흥풍력,18.0,01시,3436.446,11058.531,전남 장흥군 유치면 용문리 산4번지 외 85필지
2023-03-25,장흥풍력,18.0,01시,1.446,1524.417,전남 장흥군 유치면 용문리 산4번지 외 86필지
2023-03-26,장흥풍력,18.0,01시,0.0,99868.106,전남 장흥군 유치면 용문리 산4번지 외 87필지
2023-03-27,장흥풍력,18.0,01시,8014.036,144090.659,전남 장흥군 유치면 용문리 산4번지 외 88필지
2023-03-28,장흥풍력,18.0,01시,4324.484,25414.66,전남 장흥군 유치면 용문리 산4번지 외 89필지
2023-03-29,장흥풍력,18.0,01시,63.638,11279.816,전남 장흥군 유치면 용문리 산4번지 외 90필지
