iter	Passed	Remaining
409	4388	6315
410	4402	6309
411	4415	6301
412	4427	6292
413	4437	6281
414	4448	6270
415	4458	6259
416	4469	6248
417	4479	6236
418	4488	6223
419	4497	6211
420	4510	6203
421	4524	6196
422	4539	6192
423	4553	6186
424	4567	6179
425	4584	6177
426	4599	6172
427	4612	6164
428	4624	6155
429	4634	6143
430	4643	6129
431	4656	6123
432	4669	6114
433	4683	6107
434	4694	6097
435	4706	6088
436	4718	6079
437	4727	6066
438	4737	6053
439	4747	6042
440	4757	6031
441	4768	6019
442	4777	6007
443	4787	5995
444	4797	5982
445	4806	5970
446	4817	5960
447	4829	5950
448	4838	5937
449	4848	5925
450	4858	5913
451	4867	5901
452	4880	5893
453	4889	5880
454	4899	5869
455	4910	5858
456	4920	5846
457	4933	5838
458	4942	5825
459	4951	5812
460	4962	5801
461	4971	5789
462	4982	5778
463	4992	5767
464	5000	5753
465	5012	5744
466	5024	5734
467	5034	5722
468	5041	5708
469	5052	5697
470	5061	5685
471	5070	5672
472	5081	5662
473	5090	5649
474	5099	5636
475	5112	5628
476	5127	5621
477	5142	5616
478	5153	5605
479	5163	5594
480	5173	5582
481	5182	5569
482	5191	5557
483	5202	5546
484	5212	5534
485	5223	5524
486	5232	5511
487	5243	5501
488	5254	5490
489	5266	5481
490	5276	5469
491	5287	5459
492	5296	5447
493	5307	5436
494	5318	5425
495	5327	5413
496	5337	5402
497	5348	5391
498	5357	5378
499	5365	5365
500	5374	5352
501	5383	5340
502	5392	5328
503	5404	5318
504	5415	5307
505	5424	5295
506	5434	5284
507	5443	5272
508	5453	5260
509	5461	5247
510	5469	5234
511	5480	5223
512	5489	5211
513	5499	5199
514	5512	5191
515	5527	5185
516	5536	5172
517	5547	5162
518	5558	5151
519	5568	5139
520	5578	5129
521	5591	5120
522	5601	5108
523	5611	5097
524	5620	5085
525	5629	5072
526	5638	5060
527	5647	5048
528	5657	5037
529	5670	5028
530	5683	5020
531	5698	5012
532	5712	5005
533	5723	4994
534	5733	4983
535	5743	4971
536	5752	4960
537	5762	4948
538	5771	4936
539	5781	4925
540	5793	4915
541	5806	4906
542	5815	4894
543	5828	4885
544	5839	4874
545	5849	4864
546	5863	4855
547	5873	4844
548	5886	4835
549	5898	4826
550	5911	4816
551	5923	4807
552	5933	4796
553	5943	4785
554	5954	4774
555	5964	4763
556	5974	4751
557	5984	4740
558	5993	4728
559	6008	4720
560	6017	4709
561	6027	4697
562	6036	4685
563	6046	4674
564	6055	4662
565	6068	4652
566	6080	4643
567	6089	4631
568	6099	4620
569	6110	4609
570	6122	4600
571	6134	4590
572	6143	4578
573	6154	4567
574	6164	4556
575	6174	4545
576	6186	4535
577	6198	4525
578	6207	4513
579	6217	4502
580	6227	4490
581	6236	4479
582	6246	4468
583	6255	4455
584	6267	4446
585	6277	4435
586	6287	4423
587	6299	4413
588	6309	4402
589	6320	4392
590	6331	4381
591	6341	4370
592	6351	4359
593	6360	4347
594	6369	4335
595	6380	4325
596	6391	4314
597	6399	4302
598	6413	4293
599	6426	4284
600	6435	4272
601	6445	4261
602	6457	4251
603	6471	4242
604	6482	4232
605	6492	4221
606	6501	4209
607	6510	4197
608	6519	4185
609	6529	4174
610	6540	4163
611	6550	4152
612	6560	4141
613	6568	4129
614	6579	4118
615	6588	4107
616	6597	4095
617	6606	4083
618	6617	4073
619	6630	4063
620	6640	4052
621	6651	4041
622	6662	4031
623	6678	4024
624	6690	4014
625	6701	4003
626	6712	3993
627	6722	3982
628	6733	3971
629	6743	3960
630	6752	3948
631	6761	3937
632	6773	3926
633	6786	3917
634	6796	3906
635	6817	3901
636	6836	3895
637	6849	3886
638	6861	3876
639	6874	3866
640	6884	3855
641	6895	3844
642	6906	3834
643	6922	3826
644	6933	3815
645	6942	3804
646	6953	3793
647	6963	3782
648	6973	3771
649	6985	3761
650	6997	3751
651	7009	3741
652	7018	3729
653	7030	3719
654	7040	3708
655	7049	3696
656	7058	3685
657	7069	3674
658	7077	3662
659	7088	3651
660	7097	3639
661	7108	3629
662	7118	3618
663	7127	3606
664	7136	3595
665	7146	3583
666	7159	3574
667	7172	3564
668	7184	3554
669	7194	3543
670	7208	3534
671	7221	3524
672	7231	3513
673	7241	3502
674	7252	3492
675	7262	3480
676	7271	3469
677	7281	3458
678	7291	3447
679	7301	3435
680	7312	3425
681	7322	3414
682	7332	3403
683	7342	3392
684	7354	3382
685	7365	3371
686	7374	3359
687	7384	3348
688	7393	3337
689	7403	3326
690	7412	3314
691	7422	3303
692	7432	3292
693	7442	3281
694	7451	3270
695	7460	3258
696	7472	3248
697	7483	3237
698	7493	3226
699	7502	3215
700	7514	3204
701	7527	3195
702	7543	3187
703	7553	3176
704	7565	3165
705	7574	3154
706	7583	3142
707	7592	3131
708	7606	3121
709	7615	3110
710	7628	3100
711	7638	3089
712	7649	3079
713	7666	3070
714	7679	3061
715	7693	3051
716	7708	3042
717	7722	3032
718	7734	3022
719	7743	3011
720	7752	3000
721	7764	2989
722	7774	2978
723	7783	2967
724	7794	2956
725	7803	2944
726	7813	2934
727	7823	2923
728	7832	2911
729	7843	2900
730	7854	2890
731	7863	2878
732	7872	2867
733	7882	2856
734	7895	2846
735	7906	2835
736	7917	2825
737	7930	2815
738	7939	2803
739	7948	2792
740	7960	2782
741	7969	2771
742	7978	2759
743	7986	2748
744	8001	2738
745	8013	2728
746	8022	2717
747	8033	2706
748	8043	2695
749	8052	2684
750	8062	2673
751	8071	2661
752	8080	2650
753	8090	2639
754	8100	2628
755	8113	2618
756	8123	2607
757	8134	2596
758	8145	2586
759	8154	2575
760	8170	2565
761	8178	2554
762	8188	2543
763	8200	2533
764	8210	2522
765	8221	2511
766	8233	2501
767	8245	2490
768	8257	2480
769	8267	2469
770	8280	2459
771	8290	2448
772	8301	2437
773	8312	2427
774	8323	2416
775	8333	2405
776	8342	2394
777	8353	2383
778	8365	2373
779	8375	2362
780	8387	2351
781	8397	2340
782	8408	2330
783	8418	2319
784	8427	2308
785	8436	2296
786	8446	2285
787	8455	2274
788	8466	2264
789	8475	2252
790	8485	2241
791	8495	2231
792	8510	2221
793	8520	2210
794	8531	2199
795	8541	2189
796	8551	2178
797	8560	2166
798	8571	2156
799	8580	2145
800	8593	2134
801	8603	2124
802	8614	2113
803	8624	2102
804	8634	2091
805	8644	2080
806	8656	2070
807	8666	2059
808	8674	2048
809	8683	2036
810	8695	2026
811	8707	2016
812	8717	2005
813	8725	1993
814	8735	1983
815	8747	1972
816	8757	1961
817	8767	1950
818	8777	1939
819	8789	1929
820	8799	1918
821	8813	1908
822	8823	1897
823	8834	1887
824	8843	1875
825	8853	1865
826	8864	1854
827	8875	1843
828	8886	1833
829	8897	1822
830	8907	1811
831	8917	1800
832	8928	1789
833	8938	1779
834	8948	1768
835	8960	1757
836	8969	1746
837	8977	1735
838	8986	1724
839	8996	1713
840	9007	1702
841	9017	1692
842	9029	1681
843	9040	1671
844	9050	1660
845	9061	1649
846	9073	1639
847	9083	1628
848	9094	1617
849	9104	1606
850	9114	1595
851	9126	1585
852	9137	1574
853	9147	1563
854	9156	1552
855	9166	1542
856	9176	1531
857	9189	1520
858	9200	1510
859	9218	1500
860	9228	1489
861	9237	1478
862	9246	1467
863	9257	1457
864	9269	1446
865	9283	1436
866	9296	1426
867	9305	1415
868	9316	1404
869	9327	1393
870	9336	1382
871	9346	1371
872	9355	1361
873	9367	1350
874	9377	1339
875	9387	1328
876	9399	1318
877	9410	1307
878	9419	1296
879	9431	1286
880	9441	1275
881	9451	1264
882	9462	1253
883	9472	1242
884	9482	1232
885	9491	1221
886	9500	1210
887	9510	1199
888	9520	1188
889	9531	1178
890	9541	1167
891	9550	1156
892	9560	1145
893	9569	1134
894	9581	1124
895	9591	1113
896	9601	1102
897	9611	1091
898	9622	1081
899	9630	1070
900	9645	1059
901	9656	1049
902	9672	1039
903	9682	1028
904	9692	1017
905	9702	1006
906	9712	995
907	9721	985
908	9730	974
909	9739	963
910	9748	952
911	9758	941
912	9768	930
913	9778	920
914	9787	909
915	9796	898
916	9807	887
917	9817	876
918	9827	866
919	9837	855
920	9845	844
921	9856	833
922	9868	823
923	9880	812
924	9889	801
925	9898	791
926	9909	780
927	9919	769
928	9928	758
929	9937	747
930	9945	737
931	9953	726
932	9964	715
933	9977	705
934	9986	694
935	9995	683
936	10005	672
937	10016	662
938	10026	651
939	10036	640
940	10051	630
941	10061	619
942	10073	608
943	10088	598
944	10097	587
945	10110	577
946	10121	566
947	10132	555
948	10143	545
949	10154	534
950	10163	523
951	10175	513
952	10187	502
953	10197	491
954	10208	481
955	10218	470
956	10230	459
957	10242	449
958	10253	438
959	10262	427
960	10273	416
961	10282	406
962	10291	395
963	10301	384
964	10311	373
965	10320	363
966	10331	352
967	10340	341
