瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
192,柳林,2019-01-01 01:00,-5.9,,.6,50,49,1029.4,,,,0
192,柳林,2019-01-01 02:00,-6.5,,.5,50,50,1029.6,,,,0
192,柳林,2019-01-01 03:00,-7.2,,.1,0,57,1029.7,,,,0
192,柳林,2019-01-01 04:00,-7.4,,.2,0,58,1029,,,,0
192,柳林,2019-01-01 05:00,-6.3,,.9,230,61,1028.9,,,,2
192,柳林,2019-01-01 06:00,-6.6,,.3,0,64,1028.8,,,,0
192,柳林,2019-01-01 07:00,-6.9,,.1,0,69,1028.9,,,,8
192,柳林,2019-01-01 08:00,-6.7,,.1,0,71,1028.9,0,.01,,7
192,柳林,2019-01-01 09:00,-2.5,,.5,160,57,1029.1,.7,.4,,7
192,柳林,2019-01-01 10:00,-.2,,.4,0,47,1029.8,.5,.84,,8
192,柳林,2019-01-01 11:00,2.3,,.7,360,39,1028.8,1,1.53,,3
192,柳林,2019-01-01 12:00,3.7,,.7,200,35,1027.5,1,1.79,,7
192,柳林,2019-01-01 13:00,4.4,,2.3,250,32,1026.4,1,1.99,,3
192,柳林,2019-01-01 14:00,5.1,,1.9,250,31,1025.6,1,1.74,,2
192,柳林,2019-01-01 15:00,5.5,,2.5,320,30,1025.6,1,1.34,,6
192,柳林,2019-01-01 16:00,4.3,,3.7,360,35,1026,.8,.8,,6
192,柳林,2019-01-01 17:00,2.7,,1.3,20,38,1026.6,.7,.37,,6
192,柳林,2019-01-01 18:00,1.5,,1.1,70,46,1027.3,0,.02,,5
192,柳林,2019-01-01 19:00,1.2,,1.8,360,44,1027.8,,,,1
192,柳林,2019-01-01 20:00,.7,,1.6,340,43,1028,,,,0
192,柳林,2019-01-01 21:00,-1.2,,.6,90,49,1028,,,,8
192,柳林,2019-01-01 22:00,-.9,,1,270,51,1027.9,,,,5
192,柳林,2019-01-01 23:00,-2.9,,.3,0,60,1028.3,,,,0
192,柳林,2019-01-02 00:00,-3.9,,.2,0,65,1028.9,,,,1
192,柳林,2019-01-02 01:00,-4.1,,.9,50,63,1029.2,,,,0
192,柳林,2019-01-02 02:00,-3.2,,1.2,200,72,1029.5,,,,0
192,柳林,2019-01-02 03:00,-4.8,,.2,0,74,1029.9,,,,0
192,柳林,2019-01-02 04:00,-4.9,,.7,360,71,1029.9,,,,4
192,柳林,2019-01-02 05:00,-5.9,,.2,0,68,1029.9,,,,7
192,柳林,2019-01-02 06:00,-5.5,,0,0,60,1029.9,,,,4
192,柳林,2019-01-02 07:00,-6.3,,.1,0,65,1030.2,,,,0
192,柳林,2019-01-02 08:00,-6.3,,0,0,70,1030.7,0,.01,,9
192,柳林,2019-01-02 09:00,-2.5,,.1,0,68,1031.1,.8,.42,,4
192,柳林,2019-01-02 10:00,.8,,.1,0,48,1031,1,.99,,0
192,柳林,2019-01-02 11:00,2,,1,270,44,1030,1,1.55,,0
192,柳林,2019-01-02 12:00,4,,1.6,250,32,1028.5,1,1.89,,0
192,柳林,2019-01-02 13:00,5.8,,2.8,290,26,1027.4,1,2.01,,0
192,柳林,2019-01-02 14:00,6.4,,3.2,340,22,1026.6,1,1.89,,0
192,柳林,2019-01-02 15:00,6,,3.7,360,22,1026.6,1,1.56,,0
192,柳林,2019-01-02 16:00,5.6,,3.2,340,25,1026.9,1,1.05,,0
192,柳林,2019-01-02 17:00,4.1,,2,320,28,1027.2,.7,.38,,0
192,柳林,2019-01-02 18:00,2.6,,1.5,340,31,1027.9,0,.01,,0
192,柳林,2019-01-02 19:00,1.2,,.6,320,34,1028.3,,,,0
192,柳林,2019-01-02 20:00,-1,,.2,0,42,1028.8,,,,0
192,柳林,2019-01-02 21:00,.2,,.9,340,40,1028.8,,,,0
192,柳林,2019-01-02 22:00,-3.1,,.8,50,53,1028.7,,,,0
192,柳林,2019-01-02 23:00,-4,,.2,0,59,1029.1,,,,0
192,柳林,2019-01-03 00:00,-4.5,,.2,0,63,1029,,,,0
192,柳林,2019-01-03 01:00,-5.3,,.4,0,67,1029.1,,,,0
192,柳林,2019-01-03 02:00,-6,,.3,0,71,1029.3,,,,0
192,柳林,2019-01-03 03:00,-6.6,,.1,0,73,1029.7,,,,0
192,柳林,2019-01-03 04:00,-7.3,,.1,0,77,1029.5,,,,0
192,柳林,2019-01-03 05:00,-7.8,,.1,0,78,1029.5,,,,0
192,柳林,2019-01-03 06:00,-8.4,,.4,0,80,1029.8,,,,0
192,柳林,2019-01-03 07:00,-8.3,,.2,0,83,1030,,,,0
192,柳林,2019-01-03 08:00,-8.4,,.1,0,80,1030.4,0,.01,,0
192,柳林,2019-01-03 09:00,-3.4,,0,0,66,1031.4,.8,.59,,0
192,柳林,2019-01-03 10:00,.2,,.4,0,42,1031.8,1,1.36,,1
192,柳林,2019-01-03 11:00,1.8,,.9,360,31,1031.7,1,1.68,,0
192,柳林,2019-01-03 12:00,3.8,,1,200,25,1030.7,1,1.91,,0
192,柳林,2019-01-03 13:00,4.6,,2.3,200,22,1029.4,1,2.02,,0
192,柳林,2019-01-03 14:00,6.5,,1.7,90,15,1028.5,1,1.89,,0
192,柳林,2019-01-03 15:00,7.8,,1.2,110,13,1028.4,1,1.57,,1
192,柳林,2019-01-03 16:00,8.2,,.9,140,14,1028.5,1,1.04,,1
192,柳林,2019-01-03 17:00,4.2,,.3,0,36,1028.8,.7,.38,,0
192,柳林,2019-01-03 18:00,1,,.3,0,33,1029.2,0,.01,,0
192,柳林,2019-01-03 19:00,-.5,,0,0,37,1029.6,,,,0
192,柳林,2019-01-03 20:00,-2,,.3,0,46,1030.2,,,,0
192,柳林,2019-01-03 21:00,-3,,.3,0,49,1030.3,,,,0
192,柳林,2019-01-03 22:00,-3.7,,0,0,52,1030.4,,,,0
192,柳林,2019-01-03 23:00,-4.5,,0,0,56,1030,,,,0
192,柳林,2019-01-04 00:00,-5.3,,.2,0,61,1030.5,,,,0
192,柳林,2019-01-04 01:00,-6,,.1,0,60,1030.1,,,,0
192,柳林,2019-01-04 02:00,-6.8,,.1,0,64,1030.6,,,,1
192,柳林,2019-01-04 03:00,-7.2,,.3,0,66,1029.9,,,,0
192,柳林,2019-01-04 04:00,-7.5,,0,0,67,1029.2,,,,0
192,柳林,2019-01-04 05:00,-7.8,,0,0,69,1029.4,,,,0
192,柳林,2019-01-04 06:00,-7.9,,.4,0,70,1028.9,,,,0
192,柳林,2019-01-04 07:00,-8.2,,.2,0,69,1028.3,,,,1
192,柳林,2019-01-04 08:00,-8.2,,0,0,70,1028.5,0,.01,,0
192,柳林,2019-01-04 09:00,-4,,.1,0,55,1029.2,.7,.43,,0
192,柳林,2019-01-04 10:00,-1.4,,.2,0,49,1028.8,.7,.77,,9
192,柳林,2019-01-04 11:00,2,,.4,0,36,1027.8,.9,1.24,,7
192,柳林,2019-01-04 12:00,2.7,,.7,270,27,1026.8,.6,1.21,,8
192,柳林,2019-01-04 13:00,4,,.2,0,28,1026.2,0,.51,,9
192,柳林,2019-01-04 14:00,5,,1.1,50,22,1024.6,0,.75,,9
192,柳林,2019-01-04 15:00,5.4,,.4,0,23,1024.3,.3,.7,,9
192,柳林,2019-01-04 16:00,5.7,,.2,0,22,1024.1,.1,.4,,8
192,柳林,2019-01-04 17:00,5.2,,0,0,28,1023.6,0,.16,,10
192,柳林,2019-01-04 18:00,3.6,,0,0,36,1023.7,0,.01,,10
192,柳林,2019-01-04 19:00,3.3,,0,0,39,1023.5,,,,9
192,柳林,2019-01-04 20:00,2.6,,.2,0,39,1023.3,,,,0
192,柳林,2019-01-04 21:00,2.5,,0,0,39,1023.1,,,,9
192,柳林,2019-01-04 22:00,1.7,,.2,0,44,1023.3,,,,9
192,柳林,2019-01-04 23:00,1.2,,.5,110,50,1022.6,,,,10
192,柳林,2019-01-05 00:00,1.4,,0,0,50,1022.5,,,,10
192,柳林,2019-01-05 01:00,1.4,,.3,0,52,1022.3,,,,10
192,柳林,2019-01-05 02:00,1.1,,0,0,55,1022.2,,,,10
192,柳林,2019-01-05 03:00,1.1,,.1,0,56,1022,,,,10
192,柳林,2019-01-05 04:00,1.2,,.2,0,59,1021.1,,,,10
192,柳林,2019-01-05 05:00,1.2,,.1,0,61,1020.6,,,,10
192,柳林,2019-01-05 06:00,.6,,.3,0,69,1021,,,,7
192,柳林,2019-01-05 07:00,.8,,.1,0,69,1021.2,,,,10
192,柳林,2019-01-05 08:00,-1.1,,.1,0,76,1021.4,0,0,,2
192,柳林,2019-01-05 09:00,1.4,,0,0,67,1022,.4,.31,,9
192,柳林,2019-01-05 10:00,3.9,,1,90,51,1022.9,.2,.52,,9
192,柳林,2019-01-05 11:00,5.5,,1.6,90,44,1022.1,1,1.32,,3
192,柳林,2019-01-05 12:00,7.4,,2.3,360,32,1020.7,1,1.89,,7
192,柳林,2019-01-05 13:00,8.4,,1.8,90,29,1019.8,1,1.89,,6
192,柳林,2019-01-05 14:00,9.6,,2.1,20,21,1018.9,1,1.77,,0
192,柳林,2019-01-05 15:00,10.3,,2.9,360,14,1018.5,1,1.48,,0
192,柳林,2019-01-05 16:00,9.7,,3,340,17,1019,1,.99,,0
