������,ȣ��,1��,2��,3��,4��,5��,6��,7��,8��,9��,10��,11��,12��,13��,14��,15��,16��,17��,18��,19��,20��,21��,22��,23��,24��
2023-05-30,1,486316,0,0,0,145895,218842,0,0,0,0,0,0,0,0,0,0,0,267474,340421,0,0,0,0,0
2023-05-31,1,0,0,0,0,0,0,0,48632,0,0,0,0,0,0,0,48632,24316,24316,0,0,0,0,0,0
2023-06-01,1,0,0,0,0,0,1215789,899684,170211,1434632,2504526,1045579,437684,389053,48632,0,48632,170211,2480211,2455895,48632,0,2382947,1045579,729474
2023-06-02,1,486316,753789,72947,316105,826737,3258316,5957368,7586526,9045474,7635158,10626000,5349474,1386000,996947,3598737,3890526,3768947,3428526,3720316,4887474,5422421,6249158,3939158,5325158
2023-06-03,1,2382947,3452842,4814526,6954316,6784105,8632105,7854000,5154947,4303895,3550105,2650421,486316,486316,462000,437684,437684,413368,1434632,3088105,2650421,1872316,1531895,1191474,1483263
2023-06-04,1,486316,437684,413368,316105,437684,2164105,1386000,1142842,2042526,1288737,1434632,437684,437684,413368,437684,437684,437684,1434632,2626105,1653474,632211,437684,656526,437684
2023-06-05,1,316105,389053,413368,778105,3817579,7002947,3793263,5057684,2188421,3914842,778105,291789,24316,48632,413368,486316,389053,1118526,2626105,3987789,5787158,7173158,8826632,1823684
2023-06-06,1,607895,145895,0,0,0,559263,0,0,0,0,0,194526,413368,437684,462000,413368,413368,607895,1653474,2091158,2042526,826737,291789,364737
2023-06-07,1,97263,0,121579,72947,0,0,0,0,0,0,24316,218842,729474,1775053,2747684,4036421,1848000,2066842,3209684,3355579,2504526,899684,462000,559263
2023-06-08,1,2334316,2528842,5227895,1240105,1896632,2601789,1288737,267474,0,0,24316,145895,0,1775053,2480211,972632,72947,194526,48632,1337368,97263,0,72947,316105
2023-06-09,1,389053,486316,413368,413368,340421,48632,0,0,0,24316,0,0,48632,2407263,3039474,2188421,486316,389053,1458947,4960421,5276526,8072842,8729368,6978632
2023-06-10,1,5300842,11063684,5106316,24316,0,0,778105,72947,72947,1434632,826737,3063789,1775053,7051579,7489263,6735474,510632,72947,2723368,2528842,267474,0,1094211,4814526
2023-06-11,1,1240105,3890526,7343368,2407263,875368,1337368,194526,0,0,0,0,0,316105,2455895,2212737,170211,72947,194526,0,1021263,0,0,389053,24316
2023-06-12,1,24316,0,0,0,0,0,0,0,0,0,170211,510632,72947,1993895,48632,194526,24316,0,0,0,0,24316,218842,170211
2023-06-13,1,0,0,0,0,72947,364737,218842,0,72947,0,0,0,0,170211,0,0,48632,0,0,0,0,0,0,24316
2023-06-14,1,194526,413368,413368,413368,437684,413368,413368,413368,72947,218842,24316,267474,121579,1629158,1920947,48632,0,0,0,0,0,0,145895,389053
2023-06-15,1,340421,389053,145895,316105,389053,413368,316105,48632,0,218842,364737,389053,948316,2990842,948316,486316,340421,243158,121579,534947,462000,534947,24316,0
2023-06-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24316,0,0,0,0,0,680842,1458947,2261368,559263,145895
2023-06-17,1,0,0,0,72947,72947,0,0,0,0,72947,194526,145895,0,462000,0,48632,170211,0,48632,97263,0,0,0,48632
2023-06-18,1,413368,243158,48632,0,0,0,145895,194526,0,0,0,0,0,1313053,0,0,0,0,0,0,0,0,0,0
2023-06-19,1,0,24316,72947,437684,389053,413368,121579,0,24316,0,0,0,534947,1191474,48632,145895,48632,0,0,0,0,0,0,0
2023-06-20,1,24316,6686842,1896632,6151895,10601684,875368,291789,6492316,10164000,11160947,10115368,5325158,8243053,9045474,12255158,10164000,7732421,4182316,3598737,4182316,2528842,656526,194526,0
2023-06-21,1,48632,364737,316105,267474,291789,267474,316105,413368,437684,437684,437684,413368,1240105,2358632,3890524,3088105,1191474,3574421,4109368,4936105,4692947,3306947,1483263,510632
2023-06-22,1,1458947,2455895,1458947,1531895,1483263,1920947,2650421,2164105,1386000,486316,291789,510632,875368,2407263,2650421,243158,194526,24316,0,924000,0,0,0,0
2023-06-23,1,48632,413368,413368,413368,437684,413368,389053,72947,0,0,48632,24316,48632,1337368,0,0,0,24316,0,462000,510632,972632,559263,194526
2023-06-24,1,48632,24316,0,0,0,0,0,0,0,121579,0,97263,510632,5009053,5908737,8291684,462000,5471053,11355474,13470947,3720316,4620000,4303895,2553158
2023-06-25,1,583579,1823684,4109368,8121474,14176105,15756632,16413158,10455789,15464842,16899474,15756632,14394947,12814421,6784105,3525789,559263,48632,0,340421,2893579,3574421,6419368,5252211,5787158
2023-06-26,1,7440632,8656421,7659474,7513579,6735474,6686842,7148842,6784105,7100211,7221789,7586526,7683789,6273474,8607789,9774947,6565263,4206632,5811474,7829684,9240000,9264316,7051579,5227895,3501474
2023-06-27,1,5082000,5665579,5811474,5227895,5495368,5325158,4644316,5519684,4644316,3282632,5057684,7148842,4863158,5179263,4303895,5568316,3768947,3306947,6468000,9312947,10844842,10382842,8510526,8121474
2023-06-28,1,7173158,5908737,6200526,6589579,4790211,4012105,3914842,2674737,1872316,2431579,3525789,3428526,4960421,7586526,4887474,2723368,705158,753789,2188421,3841895,3914842,2917895,2237053,3866211
2023-06-29,1,6759789,9580421,11282526,7610842,5908737,6273474,7294737,7294737,6565263,6613895,6638211,8461895,8510526,10674632,10723263,8680737,5641263,4936105,5446737,6978632,6711158,4692947,4230947,972632
2023-06-30,1,291789,1629158,3939158,5325158,5544000,3404211,4303895,729474,121579,1896632,729474,1361684,4085053,5835789,4960421,6297789,2942211,1118526,2091158,2942211,2455895,413368,194526,145895
2023-07-01,1,24316,0,0,0,0,0,0,0,0,0,0,0,0,680842,0,0,0,0,0,72947,194526,0,0,0
2023-07-02,1,0,0,97263,24316,389053,413368,948316,389053,364737,194526,24316,0,24316,1993895,2820632,705158,437684,364737,2042526,5811474,3063789,2164105,486316,1045579
2023-07-03,1,656526,1458947,753789,680842,48632,72947,0,243158,364737,24316,0,0,0,729474,1191474,462000,218842,97263,0,413368,0,0,0,97263
2023-07-04,1,413368,413368,753789,2942211,4279579,4012105,3720316,2455895,145895,826737,2358632,4182316,4158000,6686842,6857053,5471053,2893579,3136737,6711158,7683789,6249158,4352526,3525789,3282632
2023-07-05,1,2869263,3647368,5033368,5957368,2699053,1896632,1604842,3452842,1920947,1872316,2066842,875368,632211,1142842,1507579,632211,72947,24316,0,413368,0,0,0,218842
2023-07-06,1,72947,243158,121579,0,0,194526,778105,729474,340421,291789,340421,291789,753789,3185368,3501474,1021263,632211,583579,875368,2942211,4911789,3987789,2237053,3088105
2023-07-07,1,3088105,6030316,7562211,6954316,6662526,6200526,6492316,4887474,3379895,5981684,6224842,6054632,4644316,4401158,4109368,1629158,462000,389053,899684,4401158,3088105,3088105,2091158,680842
2023-07-08,1,826737,3890526,4620000,1823684,2674737,2869263,4279579,875368,1094211,1021263,1215789,1483263,2261368,3331263,3136737,1531895,437684,389053,948316,2844947,1604842,851053,437684,389053
2023-07-09,1,437684,534947,2018211,1702105,413368,1556211,2455895,1969579,2869263,4085053,1677789,1094211,948316,3185368,2382947,2212737,2893579,364737,340421,2966526,3525789,1799368,802421,851053
2023-07-10,1,5179263,7635158,6978632,4668632,4668632,1142842,583579,170211,437684,778105,851053,3598737,10236947,10431474,9750632,5641263,3671684,1969579,3039474,4936105,4595684,2747684,607895,510632
2023-07-11,1,413368,2528842,2990842,3258316,3525789,5568316,4182316,6468000,7002947,6857053,6078947,5884421,6419368,8607789,7635158,4838842,2382947,3428526,4303895,6006000,5762842,3477158,6273474,9434526
2023-07-12,1,8632105,10091053,8656421,7367684,6224842,3963474,4790211,5860105,6686842,4595684,5106316,5349474,4911789,6273474,5884421,3234000,1191474,996947,3477158,6443684,8072842,6151895,3136737,2261368
2023-07-13,1,4911789,8632105,6516632,7537895,6954316,8899579,8753684,7732421,9288632,10674632,10139684,10018105,10066737,12546947,12036316,10577368,7440632,8534842,11379789,13349368,13860000,10091053,9556105,10553053
2023-07-14,1,11306842,11647263,11452737,12401053,12863053,12279474,11841789,11282526,11428421,11258211,11647263,10650316,10407158,12644211,12352421,10358526,8559158,8437579,9337263,12814421,13738421,12328105,8656421,10869158
2023-07-15,1,11404105,12036316,13033263,11379789,10990737,10504421,10042421,8388947,8559158,8461895,8145789,8024211,8705053,11987684,11452737,7975579,6930000,6346421,7756737,8048526,8656421,6006000,4474105,7513579
2023-07-16,1,9726316,10018105,12036316,10553053,8437579,8875263,9531789,12012000,10966421,7781053,7319053,6200526,6030316,6613895,8705053,3793263,2455895,2334316,6857053,10553053,10747579,10601684,9507474,10966421
2023-07-17,1,11185263,9167053,8461895,8899579,9361579,8680737,9337263,6711158,6759789,6078947,4085053,5130632,5057684,6711158,6711158,1288737,583579,1313053,1920947,4352526,5641263,3817579,3331263,9458842
2023-07-18,1,7610842,10626000,12838737,13252105,15683684,14808316,14978526,14540842,13325053,13422316,11282526,11501368,9993789,12328105,12449684,8680737,4936105,5373789,2164105,2650421,3355579,1726421,462000,364737
2023-07-19,1,24316,97263,316105,389053,607895,1750737,3234000,3841895,4790211,4814526,4936105,4206632,3501474,4474105,3720316,948316,462000,340421,194526,2091158,170211,24316,0,0
2023-07-20,1,0,0,0,0,0,0,0,218842,24316,0,0,0,0,121579,0,0,0,0,72947,0,24316,243158,97263,0
2023-07-21,1,0,48632,0,0,0,0,0,1118526,2747684,559263,875368,2431579,5471053,8024211,6978632,4352526,3793263,4668632,9094105,12765789,14565158,9604737,3234000,1458947
2023-07-22,1,2431579,4571368,2358632,5933053,11428421,17118316,19987579,17774842,15951158,14419263,16315895,12790105,13787053,15951158,16875158,14297684,11282526,10626000,12425368,15294632,14200421,12522632,10091053,10674632
2023-07-23,1,12838737,13689789,13373684,12303789,10285579,11136632,10844842,9677684,11477053,11185263,8072842,8607789,6103263,7075895,7100211,5689895,3525789,4765895,5933053,8461895,9458842,9021158,7537895,7902632
2023-07-24,1,10626000,11525684,9580421,9021158,10528737,11550000,7537895,2504526,1580526,1337368,2018211,705158,2164105,6127579,9021158,8218737,705158,121579,559263,3671684,3647368,4133684,1848000,802421
2023-07-25,1,1361684,5179263,6735474,5616947,9142737,7392000,5568316,7805368,8121474,6249158,3404211,4668632,2553158,3623053,3598737,2650421,1313053,1556211,4741579,6638211,6759789,4182316,2942211,4085053
2023-07-26,1,4741579,5154947,4352526,4206632,3647368,3768947,4401158,2917895,2504526,1629158,1848000,2042526,3112421,5276526,5057684,3477158,1483263,1118526,2966526,5835789,4449789,3428526,1726421,486316
2023-07-27,1,1945263,4133684,3987789,5082000,4328211,3696000,3817579,4498421,3550105,3963474,5544000,5398105,7075895,8923895,8826632,5981684,5325158,6030316,6711158,8194421,6468000,3671684,4717263,5446737
2023-07-28,1,4741579,6638211,7829684,7319053,8778000,6905684,6905684,7537895,7975579,4814526,6565263,7732421,7975579,5641263,9215684,5762842,2091158,1945263,2626105,3671684,4692947,4644316,1896632,2990842
2023-07-29,1,3088105,4863158,6030316,10066737,11768842,9215684,7051579,5835789,7878316,7537895,7513579,5762842,7732421,9653368,8899579,8048526,4984737,6176211,5544000,2966526,2966526,3136737,1215789,1215789
2023-07-30,1,3355579,4765895,3404211,5519684,4352526,7002947,4887474,5787158,4425474,5179263,3477158,3939158,6127579,6468000,7173158,4012105,2164105,1386000,1215789,2674737,6176211,3793263,559263,1580526
2023-07-31,1,753789,1410316,1167158,826737,2504526,924000,413368,0,2431579,2504526,1288737,607895,267474,1726421,2285684,243158,0,0,0,753789,0,218842,170211,267474
2023-08-01,1,0,0,0,0,0,0,218842,48632,0,0,170211,0,0,1142842,437684,291789,0,0,0,24316,0,0,0,0
2023-08-02,1,24316,24316,24316,267474,0,1069895,632211,0,72947,0,0,218842,5227895,10407158,8145789,4303895,0,2990842,6346421,2334316,1750737,2042526,1799368,486316
2023-08-03,1,851053,3598737,5811474,5592632,5544000,24316,0,267474,1726421,4279579,3890526,2480211,5349474,7659474,9653368,4255263,2844947,1094211,4717263,4474105,4620000,3574421,1969579,2358632
2023-08-04,1,1458947,3793263,4401158,2577474,3574421,4352526,4911789,0,1750737,1920947,3501474,2699053,1702105,6735474,6224842,3306947,899684,899684,1702105,3209684,4717263,2066842,291789,218842
2023-08-05,1,486316,680842,705158,705158,486316,0,0,0,0,0,753789,1264421,97263,2577474,3331263,267474,510632,3234000,1945263,3890526,4182316,3185368,462000,291789
2023-08-06,1,559263,996947,413368,1750737,2091158,2601789,2261368,1993895,1191474,1750737,3355579,4741579,4960421,6468000,5544000,3379895,2358632,1483263,6930000,3598737,1945263,1386000,778105,3914842
2023-08-07,1,802421,2334316,2893579,1045579,2553158,3428526,6638211,6443684,5835789,4449789,8194421,2747684,3987789,5422421,5616947,3914842,2285684,1094211,2285684,3598737,3793263,778105,194526,510632
2023-08-08,1,510632,1434632,3914842,4474105,4133684,4085053,6492316,3890526,2650421,4863158,5154947,5762842,8218737,5009053,4765895,6151895,5738526,4303895,4644316,3234000,2893579,2553158,4303895,3452842
2023-08-09,1,7854000,7002947,534947,486316,2917895,1993895,3477158,4255263,7513579,11817474,12133579,12936000,13884316,16607684,15780947,11963368,9458842,10528737,12060632,14200421,14686737,13932947,11452737,14540842
2023-08-10,1,15683684,15635053,11939053,11452737,15148737,16486105,16364526,15853895,15294632,16315895,15756632,16242947,16607684,17410105,15416211,9604737,3258316,1313053,2455895,2455895,1993895,170211,170211,72947
2023-08-11,1,24316,0,0,0,121579,0,0,0,0,97263,267474,389053,1069895,1483263,1191474,948316,510632,364737,48632,875368,0,0,0,0
2023-08-12,1,0,0,0,0,0,0,0,0,0,0,0,0,48632,0,0,24316,72947,97263,0,0,0,0,0,0
2023-08-13,1,0,145895,0,0,0,0,0,0,0,0,218842,97263,194526,97263,0,0,0,0,0,0,0,218842,486316,413368
2023-08-14,1,170211,97263,72947,0,0,0,0,0,0,0,0,0,0,899684,194526,24316,316105,413368,72947,510632,0,0,0,24316
2023-08-15,1,0,0,0,0,0,0,0,0,24316,97263,194526,413368,340421,899684,680842,1142842,0,0,0,0,0,0,121579,389053
2023-08-16,1,413368,437684,413368,389053,437684,802421,583579,583579,1118526,948316,218842,316105,656526,2091158,2990842,1653474,486316,389053,291789,1872316,170211,243158,364737,413368
2023-08-17,1,413368,413368,340421,72947,0,0,0,0,0,0,24316,364737,1215789,851053,316105,316105,24316,0,0,1069895,0,0,0,0
2023-08-18,1,0,0,0,24316,0,170211,218842,170211,97263,291789,389053,413368,826737,2042526,2066842,121579,486316,316105,0,1458947,24316,340421,0,0
2023-08-19,1,0,389053,340421,267474,413368,218842,194526,24316,24316,24316,170211,121579,121579,1702105,437684,0,24316,267474,0,24316,656526,899684,121579,0
2023-08-20,1,389053,413368,170211,0,121579,48632,0,0,194526,340421,389053,389053,121579,1240105,24316,0,0,0,0,0,0,0,24316,389053
2023-08-21,1,1361684,2139789,3890526,3939158,2772000,1458947,2699053,3209684,4279579,3428526,4644316,5057684,4595684,5908737,6468000,4376842,2577474,3428526,4036421,5203579,5154947,4206632,3355579,3234000
2023-08-22,1,5203579,7197474,7464947,6857053,8194421,4765895,6006000,3914842,2188421,5422421,4765895,4887474,6443684,7975579,6808421,4425474,3720316,2942211,4692947,9653368,10528737,8170105,5762842,4984737
2023-08-23,1,5227895,5738526,6759789,5592632,6151895,5033368,875368,2115474,2212737,5738526,10164000,9069789,6200526,5009053,4644316,2042526,1264421,1021263,2844947,3671684,7926947,5057684,1118526,389053
2023-08-24,1,437684,2504526,3452842,218842,0,0,0,243158,0,0,0,24316,291789,2285684,2480211,924000,364737,316105,243158,559263,0,0,0,0
2023-08-25,1,0,0,0,0,0,0,0,0,24316,194526,291789,389053,340421,851053,194526,170211,194526,24316,194526,462000,291789,72947,72947,24316
2023-08-26,1,0,48632,194526,291789,413368,413368,413368,437684,218842,24316,0,0,24316,1823684,1750737,170211,72947,72947,72947,121579,170211,24316,0,0
2023-08-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97263,389053,413368,316105,1604842,559263,510632,72947,389053
2023-08-28,1,389053,1118526,389053,486316,2942211,2917895,5154947,6930000,7683789,8121474,7610842,9337263,10407158,13179158,13860000,11550000,9629053,11039368,12644211,11695895,13203474,10747579,8583474,6200526
2023-08-29,1,5033368,3841895,3671684,4668632,4036421,3696000,4328211,4328211,3282632,2796316,1993895,2747684,3963474,5811474,5179263,510632,0,0,0,1458947,2699053,1726421,1021263,413368
2023-08-30,1,1507579,3379895,2601789,1896632,3914842,316105,2212737,1556211,924000,899684,72947,0,899684,4279579,4449789,1896632,1848000,1653474,3720316,8923895,7635158,1313053,0,389053
2023-08-31,1,656526,1191474,2358632,4352526,4036421,3258316,2115474,3112421,4376842,1969579,4620000,5082000,3696000,5714211,6030316,2869263,1337368,1094211,1215789,2942211,2699053,1215789,462000,413368
2023-09-01,1,413368,413368,291789,2820632,510632,0,2455895,4255263,2528842,972632,2699053,2358632,1653474,4668632,6346421,3574421,0,97263,0,389053,0,0,24316,2139789
2023-09-02,1,2553158,3209684,4230947,3574421,5738526,13641158,16194316,12619895,10553053,5568316,5762842,5106316,2042526,3914842,4814526,2139789,534947,1677789,1702105,5057684,5884421,7051579,4717263,4936105
2023-09-03,1,4522737,7367684,6954316,7732421,5665579,4887474,3890526,2528842,2285684,2820632,2528842,3039474,3720316,5665579,4012105,1167158,486316,607895,534947,1677789,1142842,24316,413368,389053
2023-09-04,1,364737,437684,243158,0,0,0,0,0,0,0,0,0,0,2480211,2115474,121579,24316,97263,0,24316,0,48632,413368,462000
2023-09-05,1,145895,24316,145895,680842,364737,316105,364737,1556211,1118526,559263,1021263,1823684,1896632,1556211,2042526,778105,389053,145895,24316,705158,1021263,1386000,510632,413368
2023-09-06,1,413368,218842,48632,72947,413368,389053,1118526,1386000,778105,364737,875368,1215789,3306947,4012105,3282632,2480211,656526,170211,0,1580526,413368,0,0,0
2023-09-07,1,48632,316105,291789,218842,0,170211,534947,413368,413368,559263,2577474,1264421,1021263,4255263,4425474,2237053,1580526,1264421,2066842,1677789,6322105,4303895,2626105,2966526
2023-09-08,1,413368,1556211,1823684,1823684,753789,1167158,778105,389053,948316,948316,1410316,1677789,3015158,7659474,7148842,5860105,2382947,1604842,3744632,3258316,2091158,972632,462000,243158
2023-09-09,1,0,24316,0,97263,97263,72947,243158,24316,145895,389053,340421,340421,267474,1702105,243158,0,0,0,0,0,0,0,0,0
2023-09-10,1,97263,0,0,0,0,0,0,24316,0,0,0,0,0,48632,0,0,0,340421,340421,72947,0,0,0,0
2023-09-11,1,0,0,0,0,0,24316,267474,97263,0,0,0,97263,72947,218842,0,24316,24316,121579,0,0,0,0,0,0
2023-09-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24316,48632,0,0,0,0,364737,1458947,1458947,413368,340421
2023-09-13,1,972632,753789,413368,1653474,2212737,2772000,3209684,680842,583579,559263,778105,778105,1142842,3720316,4790211,2772000,826737,510632,2528842,5227895,3647368,1021263,218842,48632
2023-09-14,1,0,267474,413368,729474,607895,2310000,948316,121579,1580526,194526,1264421,4547053,486316,2334316,3185368,1288737,656526,340421,0,1580526,1799368,4060737,1750737,1361684
2023-09-15,1,3696000,3963474,5276526,4474105,3598737,2723368,2382947,1191474,510632,0,0,316105,583579,2188421,2601789,1361684,534947,486316,1677789,4571368,3914842,2893579,559263,413368
2023-09-16,1,389053,389053,291789,170211,389053,170211,948316,437684,924000,1458947,2358632,7854000,5495368,4474105,1799368,364737,0,0,462000,3768947,4644316,4401158,1191474,656526
2023-09-17,1,413368,340421,364737,826737,729474,996947,316105,0,0,0,0,0,0,1726421,1799368,218842,24316,0,0,826737,340421,194526,24316,0
2023-09-18,1,97263,389053,0,0,0,0,0,0,97263,340421,121579,145895,170211,1653474,145895,170211,24316,48632,0,0,0,0,0,0
2023-09-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194526,1118526,851053,1993895
2023-09-20,1,4425474,6589579,8072842,6711158,7246105,8923895,7781053,5981684,6419368,8729368,11258211,13057579,13154842,13641158,12668526,7781053,7270421,7781053,10212632,13276421,13616842,5933053,2407263,729474
2023-09-21,1,996947,5227895,7926947,6492316,8461895,10747579,9847895,9677684,7367684,8145789,8559158,4303895,5325158,5665579,8048526,7562211,7392000,7732421,8218737,6832737,3258316,1386000,2018211,1653474
2023-09-22,1,583579,413368,413368,413368,1483263,2942211,3185368,1094211,1848000,2285684,2504526,1045579,510632,389053,413368,413368,340421,826737,2820632,1775053,1118526,0,24316,0
2023-09-23,1,0,291789,899684,559263,3477158,5641263,4255263,534947,48632,462000,4692947,3136737,3161053,3817579,3306947,1142842,0,0,1604842,1969579,1580526,656526,316105,1823684
2023-09-24,1,24316,0,194526,0,0,0,0,0,0,0,0,0,0,121579,0,48632,413368,97263,1021263,413368,0,0,0,0
2023-09-25,1,0,0,24316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413368,24316,851053,583579,1580526,1872316,1872316
2023-09-26,1,218842,316105,145895,170211,0,705158,559263,0,0,121579,24316,0,48632,145895,316105,170211,194526,121579,1045579,1288737,826737,413368,218842,0
2023-09-27,1,0,0,0,24316,121579,316105,97263,121579,364737,340421,145895,291789,413368,437684,413368,437684,413368,316105,1945263,1629158,267474,145895,24316,0
2023-09-28,1,0,0,0,0,0,0,121579,170211,413368,948316,1945263,1458947,510632,826737,1702105,1920947,1434632,1142842,2674737,3598737,2869263,2188421,1337368,1580526
2023-09-29,1,632211,413368,389053,389053,924000,3525789,5325158,2212737,826737,948316,607895,389053,413368,218842,267474,97263,0,24316,1410316,0,0,0,0,0
2023-09-30,1,72947,97263,0,267474,2455895,3647368,4838842,5884421,8218737,1045579,48632,24316,0,0,218842,607895,1726421,4765895,4668632,4036421,3477158,4109368,3866211,3793263
2023-10-01,1,2553158,3647368,5057684,6759789,4158000,4863158,4401158,4620000,5252211,5300842,7659474,2577474,413368,413368,389053,3501474,5082000,4303895,6468000,7829684,5179263,4158000,5616947,3890526
2023-10-02,1,2747684,3185368,6054632,3939158,5398105,11452737,12960316,6516632,1458947,2917895,5981684,1410316,413368,1094211,2382947,3112421,2358632,1118526,2066842,1848000,1604842,0,0,0
2023-10-03,1,0,0,0,0,0,291789,0,0,0,0,0,0,24316,437684,364737,0,145895,1629158,2869263,218842,2407263,583579,24316,0
2023-10-04,1,0,0,218842,72947,145895,996947,3015158,4887474,2431579,3671684,2358632,632211,413368,413368,1045579,4911789,4838842,4279579,4863158,4595684,4814526,5203579,3355579,3768947
2023-10-05,1,2382947,2285684,6881368,11404105,12352421,15975474,15635053,15270316,13981579,12352421,6662526,145895,413368,389053,1021263,6492316,10382842,10504421,8972526,11282526,7854000,7513579,8194421,9604737
2023-10-06,1,11379789,8826632,6297789,8680737,8729368,8510526,11306842,12328105,6322105,4230947,4960421,3720316,2334316,1069895,1167158,2066842,1215789,2917895,7562211,5446737,3817579,4474105,5519684,6638211
2023-10-07,1,5325158,3088105,1604842,3428526,3550105,3696000,5519684,4765895,729474,3598737,1483263,243158,170211,267474,389053,462000,1848000,2431579,3136737,2844947,5665579,5373789,2990842,2990842
2023-10-08,1,2723368,656526,1142842,170211,48632,1677789,1872316,218842,218842,0,0,705158,97263,24316,24316,72947,0,24316,1069895,267474,1653474,340421,0,437684
2023-10-09,1,97263,121579,121579,24316,2723368,6273474,2091158,1021263,2772000,4401158,3720316,1215789,729474,3161053,4863158,3282632,2723368,2893579,6516632,4936105,3963474,3306947,1823684,2261368
2023-10-10,1,972632,1458947,5276526,8291684,11477053,12644211,13641158,12522632,9702000,4790211,1969579,972632,1142842,1969579,3841895,3015158,3428526,3088105,3404211,3282632,3234000,1750737,972632,1240105
2023-10-11,1,291789,389053,437684,510632,2188421,3404211,2893579,924000,510632,2091158,3331263,486316,0,97263,267474,413368,413368,389053,1775053,875368,1726421,2699053,1629158,1240105
2023-10-12,1,583579,340421,316105,48632,486316,4158000,3768947,1629158,1653474,1556211,5957368,1969579,559263,2747684,3331263,3477158,4425474,2893579,6662526,4328211,4401158,437684,364737,1920947
2023-10-13,1,486316,924000,462000,680842,1580526,4230947,4741579,4717263,1483263,1264421,1191474,559263,437684,413368,267474,316105,413368,729474,3306947,2893579,583579,729474,705158,145895
2023-10-14,1,534947,413368,218842,48632,267474,948316,0,0,24316,413368,1142842,194526,243158,364737,1434632,778105,413368,1167158,3550105,4449789,4303895,4571368,2358632,5033368
2023-10-15,1,2942211,3209684,2820632,4960421,3817579,6468000,5252211,4109368,2261368,2626105,1775053,583579,413368,413368,413368,3015158,4328211,4158000,5471053,5641263,4303895,2917895,2261368,1629158
2023-10-16,1,875368,437684,486316,1264421,2699053,5568316,5471053,3914842,2164105,2966526,3015158,1142842,389053,364737,2844947,4498421,5276526,9629053,11501368,13543895,12619895,10674632,9872211,8534842
2023-10-17,1,6395053,6006000,4911789,6054632,3234000,6200526,10188316,9021158,8948211,2504526,1556211,364737,389053,364737,2115474,3817579,3185368,2237053,3671684,3987789,3355579,2212737,1458947,559263
2023-10-18,1,267474,145895,170211,0,24316,462000,0,0,0,0,0,24316,0,0,0,0,0,0,0,121579,534947,389053,218842,0
2023-10-19,1,0,0,24316,218842,218842,48632,121579,24316,0,0,0,72947,121579,48632,218842,121579,24316,24316,0,0,0,0,0,0
2023-10-20,1,0,3890526,7124526,7732421,14151789,18796105,18869053,15659368,14419263,15902526,15780947,13495263,10066737,413368,4911789,10869158,11914737,14103158,16875158,18723158,15999789,16170000,15853895,15027158
2023-10-21,1,12206526,12474000,12765789,15100105,15221684,15318947,11136632,7805368,4255263,4644316,2723368,632211,437684,437684,1045579,2747684,4376842,3987789,5908737,6273474,5009053,3185368,2504526,2577474
2023-10-22,1,1604842,1872316,899684,2066842,2018211,3355579,3112421,3185368,1191474,316105,170211,194526,218842,267474,364737,170211,48632,0,145895,0,0,0,48632,0
2023-10-23,1,0,0,0,0,0,0,0,0,0,0,0,0,170211,24316,24316,48632,48632,0,0,48632,0,0,0,0
2023-10-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48632,145895,0,0,0,0,0,0,0
2023-10-25,1,0,0,0,0,0,0,0,0,0,0,0,0,72947,170211,97263,24316,0,0,0,24316,0,0,0,0
2023-10-26,1,0,0,0,0,0,0,0,0,0,0,0,24316,145895,170211,170211,145895,72947,72947,24316,48632,72947,194526,170211,194526
2023-10-27,1,72947,194526,534947,948316,3234000,4790211,5227895,4449789,6978632,5689895,1458947,437684,413368,389053,1920947,2699053,11209579,10893474,9580421,8437579,7294737,5981684,3793263,2893579
2023-10-28,1,680842,486316,486316,1142842,2042526,3744632,4814526,5130632,2285684,1677789,510632,0,0,0,267474,462000,437684,1702105,3574421,2553158,1629158,2261368,2164105,1604842
2023-10-29,1,486316,389053,218842,170211,24316,267474,0,0,0,0,0,0,0,48632,340421,267474,364737,267474,267474,24316,0,0,0,0
2023-10-30,1,0,0,0,0,0,0,0,0,0,0,0,0,24316,0,72947,218842,170211,340421,24316,0,0,0,0,0
2023-10-31,1,316105,340421,170211,145895,170211,243158,48632,97263,0,0,0,0,24316,24316,0,0,0,0,0,0,0,0,0,267474
2023-11-01,1,437684,437684,437684,340421,656526,2261368,1118526,559263,802421,607895,680842,413368,413368,389053,437684,389053,437684,1483263,3696000,3939158,3039474,2674737,3015158,3063789
2023-11-02,1,899684,413368,413368,413368,1386000,2723368,2650421,2115474,1142842,1215789,1069895,462000,413368,413368,437684,413368,1264421,2334316,6054632,6492316,6613895,6273474,6589579,6249158
2023-11-03,1,5349474,3452842,3379895,3550105,2942211,3477158,2990842,3258316,1458947,948316,1118526,437684,389053,437684,413368,437684,389053,291789,1799368,705158,0,0,121579,1313053
2023-11-04,1,583579,437684,340421,48632,0,1604842,170211,0,0,0,24316,97263,243158,291789,218842,267474,267474,97263,2310000,4644316,4741579,4571368,5665579,6808421
