瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
221,力玫,2023-08-01 00:00,22.8,,0,0,100,983,,,,6
221,力玫,2023-08-01 01:00,22.5,,.2,0,100,982.8,,,,3
221,力玫,2023-08-01 02:00,22.4,,.9,50,100,982.8,,,,3
221,力玫,2023-08-01 03:00,22.4,,.6,50,100,982.7,,,,5
221,力玫,2023-08-01 04:00,22.6,,1.8,50,100,982.6,,,,4
221,力玫,2023-08-01 05:00,22.5,,1.2,70,100,982.6,,,,6
221,力玫,2023-08-01 06:00,22.6,,1.3,70,100,982.9,0,,,6
221,力玫,2023-08-01 07:00,22.9,,1.1,50,99,983.2,0,,,5
221,力玫,2023-08-01 08:00,23.2,,1.6,50,98,983.4,0,,,3
221,力玫,2023-08-01 09:00,24.2,,1.2,70,95,983.4,0,,,6
221,力玫,2023-08-01 10:00,25.4,,1.3,90,89,983.3,.4,,,7
221,力玫,2023-08-01 11:00,27.8,,.7,50,80,982.6,1,,,6
221,力玫,2023-08-01 12:00,29.5,,.7,110,76,981.9,1,,,6
221,力玫,2023-08-01 13:00,30.5,,.9,160,63,981.3,1,,,8
221,力玫,2023-08-01 14:00,31.1,,.9,270,63,980.8,.8,,,0
221,力玫,2023-08-01 15:00,31.8,,1.2,270,63,980.2,1,,,7
221,力玫,2023-08-01 16:00,31.1,,1.3,230,64,979.8,.7,,,4
221,力玫,2023-08-01 17:00,32.3,,1.3,290,58,979.7,.8,,,4
221,力玫,2023-08-01 18:00,31.5,,1.2,230,62,979.5,1,,,5
221,力玫,2023-08-01 19:00,29.6,,.8,320,73,979.5,1,,,8
221,力玫,2023-08-01 20:00,26.8,,.3,0,90,979.7,0,,,7
221,力玫,2023-08-01 21:00,25.6,,.7,20,95,980.2,,,,5
221,力玫,2023-08-01 22:00,25.1,,.3,0,97,980.6,,,,4
