瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
221,力玫,2024-08-04 07:00,24.2,,1.4,70,100,979.9,0,,,0
221,力玫,2024-08-04 08:00,25.3,,1.4,90,97,980.1,.1,,,0
221,力玫,2024-08-04 09:00,26.2,,1.7,70,92,980.2,.5,,,0
221,力玫,2024-08-04 10:00,28.2,,1.4,110,85,979.9,1,,,0
221,力玫,2024-08-04 11:00,30.6,,.6,160,73,979.8,1,,,0
221,力玫,2024-08-04 12:00,32.3,,.9,90,62,979.4,1,,,0
221,力玫,2024-08-04 13:00,33.2,,.3,0,56,978.8,1,,,0
221,力玫,2024-08-04 14:00,34.2,,.6,270,50,978.2,.9,,,0
221,力玫,2024-08-04 15:00,34.4,,1.3,250,46,977.8,1,,,0
221,力玫,2024-08-04 16:00,34.5,,1.2,290,52,977.3,.7,,,0
221,力玫,2024-08-04 17:00,34.2,,1.4,250,52,977.1,1,,,0
221,力玫,2024-08-04 18:00,33,,1.7,230,59,977.5,1,,,4
221,力玫,2024-08-04 19:00,31.2,,.7,340,67,977.4,.6,,,7
221,力玫,2024-08-04 20:00,29.7,,2.2,140,72,978.3,0,,,7
221,力玫,2024-08-04 21:00,28.5,,.9,70,80,979.3,,,,6
221,力玫,2024-08-04 22:00,27.7,,1.4,50,86,979.3,,,,4
221,力玫,2024-08-04 23:00,27.1,,.9,70,91,979.6,,,,2
221,力玫,2024-08-05 00:00,26.3,,1,20,94,979.5,,,,1
221,力玫,2024-08-05 01:00,25.7,,.1,0,95,979.4,,,,1
221,力玫,2024-08-05 02:00,25.4,,0,0,97,979.6,,,,5
221,力玫,2024-08-05 03:00,25.1,,.1,0,98,979.4,,,,6
221,力玫,2024-08-05 04:00,25.2,,.7,70,96,979.2,,,,5
221,力玫,2024-08-05 05:00,25.1,,.3,0,98,979.5,,,,8
221,力玫,2024-08-05 06:00,25.3,,.6,70,95,979.6,0,,,6
221,力玫,2024-08-05 07:00,25.7,,.2,0,95,979.8,0,,,6
221,力玫,2024-08-05 08:00,27.2,,1.3,70,85,979.3,.4,,,0
221,力玫,2024-08-05 09:00,28.4,,1.4,50,79,978.8,.9,,,0
221,力玫,2024-08-05 10:00,29.7,,1.1,50,75,978.7,.7,,,1
221,力玫,2024-08-05 11:00,30.9,,1.2,200,73,979.1,.8,,,6
221,力玫,2024-08-05 12:00,31.6,,1.7,250,65,978.7,.8,,,5
221,力玫,2024-08-05 13:00,30.5,,2.1,320,71,978.5,.4,,,7
221,力玫,2024-08-05 14:00,30.5,,1.6,250,74,977.9,0,,,8
221,力玫,2024-08-05 15:00,31.2,,1.1,180,71,977.2,.3,,,6
221,力玫,2024-08-05 16:00,31.1,,1.2,180,71,977.2,0,,,6
221,力玫,2024-08-05 17:00,31,0,1.2,160,72,976.9,.4,,,7
221,力玫,2024-08-05 18:00,26,.5,2.7,250,92,977.8,0,,,10
221,力玫,2024-08-05 19:00,25.2,.5,.9,160,99,978.1,0,,,10
221,力玫,2024-08-05 20:00,24.4,.4,2.7,270,96,980.2,0,,,10
221,力玫,2024-08-05 21:00,23.8,1.4,1.2,230,98,980.5,,,,10
221,力玫,2024-08-05 22:00,23.6,0,1.3,50,100,979.7,,,,10
221,力玫,2024-08-05 23:00,23.8,0,1.3,90,97,979.2,,,,10
221,力玫,2024-08-06 00:00,23.5,,.3,0,100,979.2,,,,8
221,力玫,2024-08-06 01:00,23.1,,.4,0,100,978.5,,,,6
221,力玫,2024-08-06 02:00,22.6,,.1,0,100,978.2,,,,4
221,力玫,2024-08-06 03:00,22.4,,1,110,100,978.1,,,,1
221,力玫,2024-08-06 04:00,22.6,,.7,50,100,978.6,,,,1
221,力玫,2024-08-06 05:00,22.5,,.1,0,100,979.1,,,,8
221,力玫,2024-08-06 06:00,22.7,,.5,70,100,979.4,0,,,10
221,力玫,2024-08-06 07:00,23.5,,.4,0,100,979.9,.1,,,9
221,力玫,2024-08-06 08:00,24.5,,.9,90,94,979.9,.3,,,9
221,力玫,2024-08-06 09:00,25.2,,.6,140,90,980.2,.4,,,7
221,力玫,2024-08-06 10:00,27.4,,.8,230,84,980,.8,,,5
221,力玫,2024-08-06 11:00,28.9,,.5,180,81,979.7,1,,,6
221,力玫,2024-08-06 12:00,30.7,,.5,50,67,979.2,.8,,,7
221,力玫,2024-08-06 13:00,30.9,,.7,90,67,978.6,.7,,,7
221,力玫,2024-08-06 14:00,31.4,,1.1,270,62,978.1,.4,,,7
221,力玫,2024-08-06 15:00,31,,2.7,230,68,977.9,.2,,,7
221,力玫,2024-08-06 16:00,31.6,,2.5,270,66,977.9,.7,,,6
221,力玫,2024-08-06 17:00,31.7,,1.7,250,63,977.6,1,,,6
221,力玫,2024-08-06 18:00,31,,1.5,250,67,977.4,1,,,3
221,力玫,2024-08-06 19:00,28.9,,.6,250,76,977.2,.7,,,3
221,力玫,2024-08-06 20:00,26.4,,1.8,50,82,977.8,0,,,5
221,力玫,2024-08-06 21:00,25.1,,.3,0,91,978.2,,,,5
221,力玫,2024-08-06 22:00,24.3,,.4,0,96,978.3,,,,3
221,力玫,2024-08-06 23:00,24.2,,.7,20,92,978.2,,,,6
221,力玫,2024-08-07 00:00,23.3,,.1,0,98,978.4,,,,6
221,力玫,2024-08-07 01:00,23.1,,0,0,98,978.4,,,,5
221,力玫,2024-08-07 02:00,22.6,,.1,0,99,978.6,,,,5
221,力玫,2024-08-07 03:00,22.6,,.1,0,100,978.5,,,,4
221,力玫,2024-08-07 04:00,22.8,,1.6,50,100,978.3,,,,5
221,力玫,2024-08-07 05:00,22.7,,.6,70,100,978.5,,,,5
221,力玫,2024-08-07 06:00,22.7,,.8,50,100,978.8,0,,,5
221,力玫,2024-08-07 07:00,22.8,,.7,90,100,978.9,0,,,5
221,力玫,2024-08-07 08:00,23.5,,1.5,50,98,978.9,0,,,6
221,力玫,2024-08-07 09:00,24.7,,1.1,70,91,978.9,.1,,,8
221,力玫,2024-08-07 10:00,27.1,,.4,0,82,978.8,.7,,,7
221,力玫,2024-08-07 11:00,29,,.6,110,79,978,.5,,,8
221,力玫,2024-08-07 12:00,31,,1.7,200,75,977.5,.8,,,6
221,力玫,2024-08-07 13:00,30.4,,1.3,270,68,977,.3,,,7
221,力玫,2024-08-07 14:00,31.6,,1.4,340,64,976.3,.2,,,7
221,力玫,2024-08-07 15:00,31.8,,1,230,63,975.9,.8,,,5
221,力玫,2024-08-07 16:00,30.9,,2.2,200,63,975.5,.5,,,6
221,力玫,2024-08-07 17:00,30.1,,1.9,250,69,975.5,0,,,8
221,力玫,2024-08-07 18:00,30.3,,1.4,250,69,975.3,.6,,,7
221,力玫,2024-08-07 19:00,28.6,,1.2,250,75,975.4,.8,,,3
221,力玫,2024-08-07 20:00,26.4,.2,.3,0,93,975.5,0,,,3
221,力玫,2024-08-07 21:00,25.4,,.3,0,96,976,,,,3
221,力玫,2024-08-07 22:00,24.8,,0,0,99,976.1,,,,3
221,力玫,2024-08-07 23:00,24.5,,.1,0,99,976.1,,,,3
221,力玫,2024-08-08 00:00,24,,0,0,100,976.2,,,,1
221,力玫,2024-08-08 01:00,23.7,,.2,0,100,976.2,,,,1
221,力玫,2024-08-08 02:00,23.2,,0,0,100,976.1,,,,1
221,力玫,2024-08-08 03:00,23.1,,0,0,100,975.9,,,,6
221,力玫,2024-08-08 04:00,23.3,,0,0,100,976.2,,,,6
221,力玫,2024-08-08 05:00,23.7,,0,0,100,976.1,,,,7
221,力玫,2024-08-08 06:00,23.7,,.5,270,100,976.3,0,,,8
221,力玫,2024-08-08 07:00,23.8,,.7,270,100,976.4,0,,,8
221,力玫,2024-08-08 08:00,24.4,,.8,250,97,976.6,0,,,9
221,力玫,2024-08-08 09:00,25.2,,1,270,92,976.4,0,,,9
221,力玫,2024-08-08 10:00,27,,1.1,250,81,975.8,.1,,,8
221,力玫,2024-08-08 11:00,28,,2.9,230,75,975.8,.2,,,8
221,力玫,2024-08-08 12:00,28.1,,2.1,230,75,975.7,.6,,,9
221,力玫,2024-08-08 13:00,27.4,,2.1,230,79,975.9,0,,,10
221,力玫,2024-08-08 14:00,28,0,2,270,77,975.3,0,,,10
221,力玫,2024-08-08 15:00,27.9,,2,230,77,974.7,0,,,9
221,力玫,2024-08-08 16:00,28.8,,1.2,250,78,974.6,.1,,,9
221,力玫,2024-08-08 17:00,27.9,,2.2,230,79,974.6,0,,,9
221,力玫,2024-08-08 18:00,27.7,,1.1,230,80,974.7,.1,,,8
221,力玫,2024-08-08 19:00,26.6,,.6,180,87,974.7,0,,,8
221,力玫,2024-08-08 20:00,25.4,,.7,340,92,975.1,0,,,7
221,力玫,2024-08-08 21:00,24.4,,.6,20,98,975.7,,,,6
221,力玫,2024-08-08 22:00,23.7,,.4,0,99,975.7,,,,8
221,力玫,2024-08-08 23:00,23.3,,0,0,100,975.9,,,,8
221,力玫,2024-08-09 00:00,22.8,,.1,0,100,975.8,,,,8
221,力玫,2024-08-09 01:00,22.3,,0,0,100,975.4,,,,5
221,力玫,2024-08-09 02:00,22.5,,.2,0,100,975.7,,,,1
221,力玫,2024-08-09 03:00,22.5,,0,0,100,975.8,,,,2
221,力玫,2024-08-09 04:00,23.2,,.1,0,100,975.7,,,,0
221,力玫,2024-08-09 05:00,22.7,,0,0,100,975.7,,,,0
221,力玫,2024-08-09 06:00,23.2,,0,0,100,976,0,,,0
221,力玫,2024-08-09 07:00,23.4,,.5,230,99,976.2,0,,,0
221,力玫,2024-08-09 08:00,24.4,,.2,0,93,976.2,0,,,10
221,力玫,2024-08-09 09:00,25.7,,1,70,88,976.4,.1,,,10
221,力玫,2024-08-09 10:00,27.7,,1.2,90,81,976.2,.6,,,0
221,力玫,2024-08-09 11:00,29.1,,1,50,68,976,1,,,4
221,力玫,2024-08-09 12:00,29.7,,1,140,65,975.4,1,,,4
221,力玫,2024-08-09 13:00,30.8,,.8,90,60,975.1,1,,,4
221,力玫,2024-08-09 14:00,31.1,,.9,140,57,974.6,1,,,0
221,力玫,2024-08-09 15:00,32,,1.4,180,53,974.1,1,,,0
221,力玫,2024-08-09 16:00,32.2,,1.4,250,48,973.8,.9,,,0
221,力玫,2024-08-09 17:00,32.2,,2,230,53,973.7,1,,,0
221,力玫,2024-08-09 18:00,31.1,,1.8,250,64,973.6,1,,,0
221,力玫,2024-08-09 19:00,29.4,,.4,0,71,973.9,.6,,,0
221,力玫,2024-08-09 20:00,26.7,,.9,20,87,974.5,0,,,1
221,力玫,2024-08-09 21:00,25.7,,.2,0,90,975,,,,1
221,力玫,2024-08-09 22:00,25.6,,0,0,93,975.2,,,,1
221,力玫,2024-08-09 23:00,24.8,,.2,0,95,975.1,,,,1
221,力玫,2024-08-10 00:00,24.2,,0,0,98,975,,,,1
221,力玫,2024-08-10 01:00,23.7,,0,0,99,975,,,,0
221,力玫,2024-08-10 02:00,23.3,,0,0,100,975.1,,,,1
