지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
129,서산,2021-01-01 00:00,-6,0,.4,0,91,1024.3,,,2.8,7
129,서산,2021-01-01 01:00,-5.7,,.2,0,91,1024.3,,,3.2,6
129,서산,2021-01-01 02:00,-6,,0,0,92,1024.4,,,3.2,6
129,서산,2021-01-01 03:00,-6.5,0,1,90,91,1024.4,,,3.1,6
129,서산,2021-01-01 04:00,-8.3,,.3,0,90,1024.1,,,3,0
129,서산,2021-01-01 05:00,-10.5,,.2,0,89,1023.7,,,2.9,1
129,서산,2021-01-01 06:00,-8.9,0,0,0,90,1023.4,,,2.7,5
129,서산,2021-01-01 07:00,-8,,.5,50,91,1023.4,,,2.5,9
129,서산,2021-01-01 08:00,-6.5,,.4,0,89,1023.6,0,0,2.5,8
129,서산,2021-01-01 09:00,-5.8,0,.4,0,90,1023.8,0,.06,3.9,9
129,서산,2021-01-01 10:00,-4.7,,.1,0,90,1023.9,0,.18,3.8,9
129,서산,2021-01-01 11:00,-3.2,,1.2,200,87,1023.5,0,.31,3.3,9
129,서산,2021-01-01 12:00,-2.8,0,.5,250,87,1022.7,.1,.46,2.7,8
129,서산,2021-01-01 13:00,-2.6,,1.2,270,89,1022,0,.36,2.3,8
129,서산,2021-01-01 14:00,-1.5,,1.6,200,88,1021.7,.1,.35,1,10
129,서산,2021-01-01 15:00,-1.3,0,1.2,250,91,1021.7,0,.19,.9,10
129,서산,2021-01-01 16:00,-1.3,,.4,0,93,1021.6,0,.14,1.3,9
129,서산,2021-01-01 17:00,-1.9,,.1,0,94,1021.5,0,.05,1.6,7
129,서산,2021-01-01 18:00,-1.6,0,.5,20,95,1021.6,0,0,1.6,9
129,서산,2021-01-01 19:00,-1.8,,.8,70,95,1021.9,,,2.2,8
129,서산,2021-01-01 20:00,-4,,.2,0,94,1022.3,,,2.1,8
129,서산,2021-01-01 21:00,-3.8,0,.4,0,95,1022.3,,,2,5
129,서산,2021-01-01 22:00,-5.9,,0,0,95,1022.7,,,1.9,2
129,서산,2021-01-01 23:00,-5.6,,.5,70,94,1022.5,,,1.8,9
129,서산,2021-01-02 00:00,-5.2,0,1.1,50,94,1022.4,,,1.8,7
129,서산,2021-01-02 01:00,-5.7,,.5,50,94,1022.8,,,1.7,6
129,서산,2021-01-02 02:00,-5.9,,.5,50,94,1023.2,,,1.6,9
129,서산,2021-01-02 03:00,-4.2,,1.4,50,92,1023.3,,,1.6,5
129,서산,2021-01-02 04:00,-5.5,,.8,70,81,1023.6,,,1.6,0
129,서산,2021-01-02 05:00,-6.3,,.8,50,82,1023.9,,,1.5,1
129,서산,2021-01-02 06:00,-7.1,,.9,50,82,1024.3,,,1.5,0
129,서산,2021-01-02 07:00,-7.3,,1.3,70,76,1024.8,,,1.4,3
129,서산,2021-01-02 08:00,-10,,.4,0,84,1025.2,0,0,1.4,0
129,서산,2021-01-02 09:00,-7.7,,.4,0,84,1026.1,.7,.1,1.2,7
129,서산,2021-01-02 10:00,-4.1,,1.3,50,58,1026.8,1,.34,.7,5
129,서산,2021-01-02 11:00,-2.4,,.4,0,54,1027.2,1,.57,.5,1
129,서산,2021-01-02 12:00,-.9,,.9,340,53,1027,1,1.03,.5,0
129,서산,2021-01-02 13:00,.1,,3.5,320,52,1026.7,1,1.53,.4,0
129,서산,2021-01-02 14:00,-.3,,4.5,320,44,1026.8,1,1.73,,0
129,서산,2021-01-02 15:00,0,,3.3,320,52,1026.4,1,1.63,,0
129,서산,2021-01-02 16:00,-1.2,,5.2,320,49,1027.1,1,.87,,3
129,서산,2021-01-02 17:00,-1.9,,3.2,340,55,1027.8,1,.3,,0
129,서산,2021-01-02 18:00,-3.8,,1.2,290,63,1028.4,.1,.03,,1
129,서산,2021-01-02 19:00,-4.5,,.7,250,67,1028.8,,,,0
129,서산,2021-01-02 20:00,-4.9,,.6,180,71,1028.9,,,,0
129,서산,2021-01-02 21:00,-7,,.8,70,79,1028.7,,,,0
129,서산,2021-01-02 22:00,-7.2,,.4,0,81,1028.5,,,,0
129,서산,2021-01-02 23:00,-6.3,,.9,50,78,1028.5,,,,0
129,서산,2021-01-03 00:00,-3.5,,2.7,340,54,1029.8,,,,0
129,서산,2021-01-03 01:00,-4.5,,1.5,20,58,1029.8,,,,2
129,서산,2021-01-03 02:00,-5.1,,.6,360,56,1031.1,,,,4
129,서산,2021-01-03 03:00,-5.7,,1,90,55,1031.2,,,,4
129,서산,2021-01-03 04:00,-7.4,,1.3,110,65,1031,,,,5
129,서산,2021-01-03 05:00,-7.3,,1,70,64,1031.3,,,,8
129,서산,2021-01-03 06:00,-8.9,,.4,0,77,1031.6,,,,8
129,서산,2021-01-03 07:00,-9.3,,.1,0,80,1031.8,,,,1
129,서산,2021-01-03 08:00,-9.6,,.1,0,83,1031.8,0,0,,0
129,서산,2021-01-03 09:00,-7.5,,.4,0,74,1032.2,.7,.27,,0
129,서산,2021-01-03 10:00,-3.9,,.5,320,57,1032.1,1,.8,,0
