"발전구분","호기","일자","1시 발전량(MWh)","2시 발전량(MWh)","3시 발전량(MWh)","4시 발전량(MWh)","5시 발전량(MWh)","6시 발전량(MWh)","7시 발전량(MWh)","8시 발전량(MWh)","9시 발전량(MWh)","10시 발전량(MWh)","11시 발전량(MWh)","12시 발전량(MWh)","13시 발전량(MWh)","14시 발전량(MWh)","15시 발전량(MWh)","16시 발전량(MWh)","17시 발전량(MWh)","18시 발전량(MWh)","19시 발전량(MWh)","20시 발전량(MWh)","21시 발전량(MWh)","22시 발전량(MWh)","23시 발전량(MWh)","24시 발전량(MWh)","총량(KW)","평균(KW)","최대(시간별)","최소(시간별)","최대","최소"
"삼천포풍력","1"," 2024-10-05 00:00:00","20.52","62.64","42.696","36.792","73.656","134.424","250.56","272.088","260.928","158.688","31.608","2.16","3.024","8.64","13.392","11.592","0.576","0.432","0","10.152","24.552","27.216","1.728","20.304","1468.368","61","272.08","0.432","272.088","0"
"영흥풍력","1"," 2024-10-05 00:00:00","0","0","0","0","30.239","23.798","82.188","131.476","89.381","12.537","0","0","0","0","0","80.858","133.211","111.21","0","25.669","295.994","397.338","122.779","0","1536.678","64","397.33","12.53","397.338","0"
"영흥풍력","2"," 2024-10-05 00:00:00","46.08","19.2","1.92","1.92","153.6","195.84","393.6","142.08","174.72","172.8","23.04","0","9.6","24.96","132.48","182.4","382.08","241.92","295.68","224.64","499.2","481.92","307.2","122.88","4229.76","176","499.2","1.92","499.2","0"
"군위 화산풍력","1"," 2024-10-05 00:00:00","0","0","0","0","0","106.063","337.474","144.632","0","0","0","28.926","0","0","0","0","0","173.558","1089.558","472.463","472.463","935.284","511.032","337.474","4608.927","192","1089.55","28.926","1089.558","0"
"어음풍력","1"," 2024-10-05 00:00:00","4701.032","2144.184","2114.616","2114.504","4451.832","5308.464","1740.816","1168.664","5230.68","3855.32","2644.936","2978.136","2121.392","2111.48","2110.64","2110.584","2111.76","7155.12","4630.808","3971.632","2445.632","2573.424","2118.424","3968.944","75883.024","3162","7155.12","1168.664","7155.12","1168.664"
"삼천포풍력","1"," 2024-10-04 00:00:00","4.392","37.872","25.488","19.224","83.664","58.32","127.944","59.4","48.96","61.2","1.224","0","3.24","6.192","0.288","10.368","1.08","0","1.224","2.952","11.88","13.176","6.84","7.2","592.128","25","127.94","0.28","127.944","0"
"영흥풍력","1"," 2024-10-04 00:00:00","0","0","0","0","254.788","214.411","261.903","411.336","333.15","163.331","0","0","0","0","0","0","0","92.678","309.028","66.82","109.86","129.008","1.506","0","2347.819","98","411.33","1.506","411.336","0"
"영흥풍력","2"," 2024-10-04 00:00:00","0","109.44","21.12","1.92","119.04","284.16","401.28","343.68","61.44","234.24","38.4","23.04","0","0","168.96","278.4","142.08","163.2","458.88","236.16","174.72","132.48","28.8","0","3421.44","143","458.88","1.92","458.88","0"
"군위 화산풍력","1"," 2024-10-04 00:00:00","221.768","192.842","134.989","0","48.211","154.274","241.053","231.411","154.274","318.189","86.779","9.642","0","0","0","77.137","231.411","1388.463","5746.695","5794.905","3422.947","1889.853","626.737","202.484","21174.064","882","5794.9","9.642","5794.905","0"
"어음풍력","1"," 2024-10-04 00:00:00","3361.344","5308.576","3474.8","3428.992","1855.168","3572.128","5027.792","4825.632","5924.744","4831.4","3301.368","4620.056","4022.592","2940.224","4377.744","2602.544","3266.592","2949.576","3960.6","3507.112","2134.216","2085.888","1633.744","984.704","83997.536","3500","5924.74","984.704","5924.744","984.704"
"삼천포풍력","1"," 2024-10-03 00:00:00","64.008","18.36","46.08","83.736","95.256","101.808","102.312","100.08","94.176","122.472","74.664","81.576","40.104","53.568","74.592","67.68","41.472","39.096","23.688","37.296","25.344","21.456","90","36.792","1535.616","64","122.47","18.36","122.472","18.36"
"영흥풍력","1"," 2024-10-03 00:00:00","412.281","385.191","383.841","381.623","308.758","27.809","74.032","75.111","325.09","167.747","69.365","0","0","0","0","0","0","0","1881.722","1366.863","108.394","249.89","149.795","0","6367.512","265","1881.72","27.809","1881.722","0"
"영흥풍력","2"," 2024-10-03 00:00:00","487.68","489.6","614.4","524.16","220.8","280.32","470.4","426.24","418.56","282.24","103.68","0","0","1.92","7.68","0","5.76","0","2252.16","1635.84","17.28","101.76","7.68","0","8348.16","348","2252.16","1.92","2252.16","0"
"군위 화산풍력","1"," 2024-10-03 00:00:00","337.474","1166.695","2265.895","2169.474","2285.179","3259.032","4203.958","2208.042","2526.232","2024.842","1533.095","896.716","1166.695","752.084","356.758","838.863","1812.716","2458.737","7096.589","6980.884","5698.484","2738.358","1359.537","96.421","56232.76","2343","7096.58","96.421","7096.589","96.421"
"어음풍력","1"," 2024-10-03 00:00:00","3341.576","3203.984","2715.776","3514.28","6693.12","6040.44","6777.904","7240.072","6442.072","6461","5304.656","7158.984","6648.6","5703.544","5712.28","5714.688","7133.448","8182.608","7960.288","8016.736","7998.48","8047.536","7435.68","3415.104","146862.856","6119","8182.6","2715.776","8182.608","2715.776"
"삼천포풍력","1"," 2024-10-02 00:00:00","37.152","34.848","47.88","99.792","165.6","109.44","38.16","18.504","0","21.24","43.992","30.6","21.816","43.2","30.6","30.312","8.928","3.672","13.752","11.016","39.24","56.304","72","99.144","1077.192","45","165.6","3.672","165.6","0"
"영흥풍력","1"," 2024-10-02 00:00:00","1133.642","1473.049","1794.418","1742.053","2115.079","2699.755","1686.855","2525.306","1355.49","912.665","1214.469","1329.314","976.513","1061.392","1358.266","1055.994","1106.481","1373.802","5221.545","4550.559","1829.918","534.174","498.833","436.691","39986.263","1666","5221.54","436.691","5221.545","436.691"
"영흥풍력","2"," 2024-10-02 00:00:00","1946.88","3269.76","3642.24","1845.12","2455.68","3198.72","3095.04","3085.44","2678.4","1808.64","2121.6","2327.04","1923.84","1728","1981.44","1656.96","1570.56","1436.16","4575.36","4496.64","1514.88","766.08","485.76","489.6","54099.84","2254","4575.36","485.76","4575.36","485.76"
"군위 화산풍력","1"," 2024-10-02 00:00:00","3172.253","7376.211","6894.105","6074.526","7318.358","5621.347","6585.558","5467.074","2613.011","964.211","0","289.263","337.474","9.642","0","0","0","0","3095.116","5553.853","5958.821","2969.768","1330.611","347.116","71978.318","2999","7376.21","9.642","7376.211","0"
"어음풍력","1"," 2024-10-02 00:00:00","18915.568","19281.584","18788.336","17754.912","17286.864","19055.456","18189.36","17619.504","19294.072","18729.48","10059.392","13959.344","9448.768","12986.904","15609.384","16851.856","15288","12092.976","6064.688","2218.44","3346.112","2414.776","4505.032","2983.512","312744.32","13031","19294.07","2218.44","19294.072","2218.44"
"삼천포풍력","1"," 2024-10-01 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.376","75.24","149.256","69.048","24.696","23.976","44.568","42.264","24.12","55.152","564.696","24","149.25","23.976","149.256","0"
"영흥풍력","1"," 2024-10-01 00:00:00","9.278","104.923","290.633","410.892","413.418","37.355","259.242","1694.526","2144.043","2562.512","3055.039","3440.351","3100.754","2583.148","2632.705","3877.598","3857.163","4156.217","7625.954","7885.58","4730.44","2463.319","2244.229","1735.809","61315.128","2555","7885.58","9.278","7885.58","9.278"
"영흥풍력","2"," 2024-10-01 00:00:00","107.52","240","420.48","485.76","480","174.72","230.4","3402.24","5182.08","6727.68","7751.04","7440","5790.72","4961.28","4744.32","6489.6","4074.24","4815.36","10141.44","11320.32","9225.6","6439.68","4116.48","3609.6","108370.56","4515","11320.32","107.52","11320.32","107.52"
"군위 화산풍력","1"," 2024-10-01 00:00:00","0","0","0","212.126","173.558","202.484","163.916","144.632","173.558","231.411","77.137","28.926","144.632","202.484","173.558","231.411","1128.126","2381.6","5332.084","7135.158","7009.811","5881.684","4734.274","2613.011","38375.581","1599","7135.15","28.926","7135.158","0"
"어음풍력","1"," 2024-10-01 00:00:00","768.544","1095.64","1252.888","146.384","0","0","83.44","40.6","0.392","0","0","0","23.576","1211.056","777.504","677.32","1754.704","7414.624","12725.944","13841.968","15364.944","16376.696","16830.184","19333.72","109720.128","4572","19333.72","0.392","19333.72","0"
"삼천포풍력","1"," 2024-09-30 00:00:00","114.48","150.264","142.488","144.936","111.528","80.856","85.104","56.304","23.184","8.28","0.504","3.816","1.872","0","0","0","0","0.36","0.216","0.576","0","0","0","0","924.768","39","150.26","0.216","150.264","0"
"영흥풍력","1"," 2024-09-30 00:00:00","414.517","400.886","424.91","410.642","419.395","414.305","400.577","701.138","816.08","477.335","511.751","394.561","0","0","0","0","0","0","3446.842","1560.246","0","0","0","0","10793.185","450","3446.84","394.561","3446.842","0"
"영흥풍력","2"," 2024-09-30 00:00:00","631.68","1950.72","1908.48","1075.2","917.76","773.76","1075.2","1365.12","1294.08","485.76","860.16","1109.76","501.12","309.12","0","24.96","24.96","111.36","2993.28","3396.48","420.48","46.08","3.84","5.76","21285.12","887","3396.48","3.84","3396.48","0"
"군위 화산풍력","1"," 2024-09-30 00:00:00","269.979","212.126","212.126","125.347","125.347","269.979","28.926","0","0","0","0","0","0","0","0","0","0","0","2641.937","96.421","0","0","0","0","3982.188","166","2641.93","28.926","2641.937","0"
"어음풍력","1"," 2024-09-30 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","2.296","0","13.888","328.216","0","0","0","0","0","0","0","0","344.4","14","328.21","2.296","328.216","0"
"삼천포풍력","1"," 2024-09-29 00:00:00","57.24","66.384","78.912","87.768","103.104","114.984","113.4","141.192","89.28","26.28","49.176","65.232","4.536","11.88","50.04","39.24","34.992","6.48","0","3.96","5.904","15.192","75.672","76.752","1317.6","55","141.19","3.96","141.192","0"
"영흥풍력","1"," 2024-09-29 00:00:00","401.406","398.013","413.052","413.843","421.516","662.753","1115.483","1202.402","600.633","482.618","619.238","256.735","159.841","0","0","0","0","0","3543.076","2481.239","0","0","183.617","426.954","13782.419","574","3543.07","159.84","3543.076","0"
"영흥풍력","2"," 2024-09-29 00:00:00","489.6","489.6","493.44","777.6","1155.84","1209.6","1324.8","1297.92","1622.4","3212.16","3905.28","1918.08","931.2","347.52","153.6","1.92","0","0","3022.08","3413.76","443.52","0","303.36","481.92","26995.2","1125","3905.28","1.92","3905.28","0"
"군위 화산풍력","1"," 2024-09-29 00:00:00","607.453","202.484","144.632","163.916","163.916","144.632","106.063","0","106.063","28.926","96.421","9.642","0","0","28.926","9.642","0","115.705","3278.316","3837.558","3548.295","1012.421","376.042","163.916","14144.969","589","3837.55","9.642","3837.558","0"
"어음풍력","1"," 2024-09-29 00:00:00","46.592","82.096","456.512","1655.584","16.856","833.168","2109.856","2110.976","2109.408","2108.624","1266.16","571.76","1745.352","1648.248","1470.616","928.144","662.984","353.696","134.456","300.552","24.248","158.704","15.12","0","20809.712","867","2110.97","15.12","2110.976","0"
"삼천포풍력","1"," 2024-09-28 00:00:00","3.168","46.512","64.8","69.48","56.736","41.328","100.296","82.584","87.48","61.488","45.432","42.48","56.448","66.888","49.824","32.976","16.272","23.76","5.832","48.888","9.432","24.336","15.12","24.192","1075.752","45","100.29","3.168","100.296","3.168"
"영흥풍력","1"," 2024-09-28 00:00:00","424.948","404.684","413.322","410.198","436.999","421.112","423.425","769.348","579.502","391.496","477.431","437.25","360.452","173.243","215.105","175.691","213.639","431.832","4039.704","2315.295","700.541","434.338","440.026","417.737","15507.318","646","4039.7","173.243","4039.704","173.243"
"영흥풍력","2"," 2024-09-28 00:00:00","792.96","1163.52","1271.04","1176.96","731.52","996.48","2530.56","2298.24","1580.16","1215.36","1345.92","871.68","650.88","585.6","328.32","84.48","357.12","531.84","3899.52","4425.6","1914.24","616.32","491.52","485.76","30345.6","1264","4425.6","84.48","4425.6","84.48"
"군위 화산풍력","1"," 2024-09-28 00:00:00","289.263","260.337","144.632","28.926","192.842","269.979","212.126","491.747","626.737","0","0","125.347","588.168","800.295","752.084","269.979","501.389","77.137","3143.326","3818.274","3606.147","925.642","385.684","414.611","17924.672","747","3818.27","28.926","3818.274","0"
"어음풍력","1"," 2024-09-28 00:00:00","1358.896","0.112","0","1266.048","2113.16","5341.112","2133.768","2681.28","3307.528","5546.408","4363.296","3314.92","2739.632","5697.104","5972.96","6043.52","3995.6","3851.456","3211.712","1065.568","0","114.8","133.616","220.192","64472.688","2686","6043.52","0.112","6043.52","0"
"삼천포풍력","1"," 2024-09-27 00:00:00","0","0","0","0","0","0","0","0","0","5.04","11.448","6.192","0.648","0","0.504","33.552","59.616","15.336","12.528","23.04","7.056","14.112","2.304","1.656","193.032","8","59.61","0.504","59.616","0"
"영흥풍력","1"," 2024-09-27 00:00:00","0","125.537","82.42","238.668","214.237","356.731","214.546","94.414","0","0","0","0","0","0","166.05","227.735","376.205","474.327","888.105","1678.702","2230.412","456.357","460.117","405.937","8690.5","362","2230.41","82.42","2230.412","0"
"영흥풍력","2"," 2024-09-27 00:00:00","11.52","272.64","218.88","174.72","309.12","487.68","439.68","11.52","0","0","0","13.44","249.6","364.8","462.72","491.52","489.6","489.6","3290.88","2711.04","1954.56","925.44","800.64","483.84","14653.44","611","3290.88","11.52","3290.88","0"
"군위 화산풍력","1"," 2024-09-27 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106.063","781.011","1041.347","1455.958","1793.432","1234.189","404.968","6816.968","284","1793.43","106.063","1793.432","0"
"어음풍력","1"," 2024-09-27 00:00:00","2984.968","3716.048","3556.896","4223.856","3868.704","4065.152","3725.456","3227.504","4008.2","4505.368","3533.824","3440.92","3844.288","3610.096","2929.472","2382.968","2915.416","2506.728","2076.2","1887.144","1985.872","1274.672","1187.256","1222.312","72679.32","3028","4505.36","1187.256","4505.368","1187.256"
"삼천포풍력","1"," 2024-09-26 00:00:00","0","0","0","0","0","0.072","0","0","0","0","10.8","12.96","0.072","0","0","0","0","0","0","0","0","0","0","0","23.904","1","12.96","0.072","12.96","0"
"영흥풍력","1"," 2024-09-26 00:00:00","0","0","0","0","0","0","84.04","77.136","0","0","0","0","0","0","0","78.1","313.81","125.768","55.288","165.549","108.452","27.636","0","0","1035.779","43","313.81","27.636","313.81","0"
"영흥풍력","2"," 2024-09-26 00:00:00","0","0","0","0","0","0","76.8","286.08","49.92","0","0","0","0","0","49.92","433.92","487.68","460.8","1766.4","539.52","387.84","211.2","51.84","0","4801.92","200","1766.4","49.92","1766.4","0"
"군위 화산풍력","1"," 2024-09-26 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"어음풍력","1"," 2024-09-26 00:00:00","0","0","0","56.056","0","0","0.224","0","0","0","0.112","726.152","682.08","293.44","1144.584","1635.872","807.52","34.048","1172.416","2124.696","2218.328","2073.4","2471.112","2431.296","17871.336","745","2471.11","0.112","2471.112","0"
"삼천포풍력","1"," 2024-09-25 00:00:00","27.144","24.696","0","0","0","0","68.04","88.56","90.576","24.48","0","0","0.936","55.224","70.92","56.952","16.704","26.064","18.576","2.88","0","0","0","0","571.752","24","90.57","0.936","90.576","0"
"영흥풍력","1"," 2024-09-25 00:00:00","0","0","0","149.968","376.167","376.938","370.575","392.363","391.727","392.999","100.912","0","0","0","0","0","0","0","1177.188","29.005","0","0","0","0","3757.842","157","1177.18","29.005","1177.188","0"
"영흥풍력","2"," 2024-09-25 00:00:00","0","1.92","1.92","288","336","485.76","487.68","458.88","478.08","478.08","385.92","360.96","201.6","1.92","0","0","0","0","1633.92","1032.96","0","0","0","23.04","6656.64","277","1633.92","1.92","1633.92","0"
"군위 화산풍력","1"," 2024-09-25 00:00:00","1494.526","2834.779","1841.642","626.737","559.242","858.147","2603.368","2005.558","134.989","86.779","0","0","0","86.779","9.642","28.926","231.411","703.874","4435.368","4782.484","3133.684","67.495","0","0","26525.43","1105","4782.48","9.642","4782.484","0"
"어음풍력","1"," 2024-09-25 00:00:00","1596.448","1056.552","14.168","63.224","0","0","16.072","0.056","0","39.984","1234.464","1505.896","21.784","1465.016","1961.064","798.784","0","0","66.304","66.304","0.112","0","0","0","9906.232","413","1961.06","0.056","1961.064","0"
"삼천포풍력","1"," 2024-09-24 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","13.464","15.984","11.088","5.112","4.32","0.144","2.664","1.8","0","6.624","7.488","68.688","3","15.98","0.14","15.984","0"
"영흥풍력","1"," 2024-09-24 00:00:00","506.099","547.208","732.842","1202.03","1018.39","1089.647","787.835","673.85","504.596","451.688","164.088","103.251","73.03","106.767","0.403","0","0","0","3503.627","2945.381","48.674","0","0","0","14459.406","602","3503.62","0.403","3503.627","0"
"영흥풍력","2"," 2024-09-24 00:00:00","1610.88","1008","1403.52","1290.24","1274.88","1132.8","1184.64","998.4","814.08","729.6","816","556.8","176.64","0","0","0","0","0","3035.52","3242.88","424.32","11.52","0","0","19710.72","821","3242.88","11.52","3242.88","0"
"군위 화산풍력","1"," 2024-09-24 00:00:00","154.274","192.842","202.484","115.705","269.979","202.484","260.337","192.842","96.421","19.284","28.926","9.642","0","0","86.779","260.337","144.632","279.621","4097.895","4772.842","2555.158","3953.263","1754.863","703.874","20354.484","848","4772.84","9.642","4772.842","0"
"어음풍력","1"," 2024-09-24 00:00:00","0","0","0","35.56","2.912","0","0","0","0","111.496","284.312","1302","2063.88","2102.072","1992.928","2561.664","4160.016","2239.776","666.456","0.056","0","0","167.888","1456.168","19147.184","798","4160.01","0.056","4160.016","0"
"삼천포풍력","1"," 2024-09-23 00:00:00","74.952","52.848","13.824","0","0","0","0","0","0","0","0","11.448","6.408","29.88","13.32","36.72","41.544","24.912","25.92","23.4","21.384","23.76","11.376","0","411.696","17","74.95","6.4","74.952","0"
"영흥풍력","1"," 2024-09-23 00:00:00","620.858","1204.58","1020.004","724.987","582.587","727.763","790.362","492.393","422.23","507.875","514.508","339.217","266.188","215.333","72.525","4.586","0.733","0.174","3287.692","3366.575","766.321","106.543","70.58","417.117","16521.731","688","3366.57","0.174","3366.575","0.174"
"영흥풍력","2"," 2024-09-23 00:00:00","883.2","1716.48","1595.52","1591.68","1827.84","2551.68","3200.64","1996.8","2582.4","1522.56","664.32","311.04","92.16","32.64","1.92","0","5.76","42.24","3025.92","3233.28","814.08","147.84","153.6","474.24","28467.84","1186","3233.28","1.92","3233.28","0"
"군위 화산풍력","1"," 2024-09-23 00:00:00","269.979","231.411","9.642","134.989","192.842","221.768","221.768","134.989","163.916","0","0","0","0","0","67.495","106.063","67.495","829.221","3635.074","3962.905","1889.853","1012.421","491.747","260.337","13903.915","579","3962.9","9.642","3962.905","0"
"어음풍력","1"," 2024-09-23 00:00:00","2846.76","1396.92","2126.264","2065.224","2120.048","2108.512","2109.576","2109.52","2390.64","2215.92","2107.84","2107.56","3809.848","4392.976","1987.496","1644.72","1321.152","874.944","3.92","1.456","0","0","0","13.608","39754.904","1656","4392.97","1.456","4392.976","0"
"삼천포풍력","1"," 2024-09-22 00:00:00","115.344","51.048","24.336","36.432","53.928","14.688","28.656","5.688","9.504","21.888","30.528","67.68","24.624","23.904","21.888","12.96","3.384","9","15.624","12.168","16.776","22.824","37.728","42.84","703.44","29","115.34","3.384","115.344","3.384"
"영흥풍력","1"," 2024-09-22 00:00:00","2993.64","4495.819","4677.678","4522.05","4052.391","3459.222","3276.365","3044.886","2307.664","1919.101","1433.848","1039.302","840.063","720.543","623.528","900.133","1557.665","3203.379","7512.976","6455.687","2131.748","469.815","444.056","457.958","62539.517","2606","7512.97","444.05","7512.976","444.056"
"영흥풍력","2"," 2024-09-22 00:00:00","4782.72","5496.96","5429.76","4106.88","2787.84","2661.12","2486.4","2037.12","1200","1249.92","1248","658.56","428.16","497.28","685.44","698.88","783.36","2113.92","5583.36","5600.64","2949.12","1104","487.68","489.6","55566.72","2315","5600.64","428.16","5600.64","428.16"
"군위 화산풍력","1"," 2024-09-22 00:00:00","202.484","260.337","163.916","212.126","96.421","221.768","231.411","269.979","183.2","154.274","0","28.926","77.137","192.842","231.411","597.811","1012.421","559.242","3297.6","3664","3287.958","1484.884","588.168","221.768","17240.084","718","3664","28.926","3664","0"
"어음풍력","1"," 2024-09-22 00:00:00","6628.944","5147.52","3245.312","2867.032","2321.536","2126.824","3602.368","5238.24","4843.776","4649.288","3840.424","3809.064","2127.664","2108.792","2108.344","2108.512","3597.72","5569.032","6876.408","9026.472","5264.112","2157.68","3913.952","4514.048","97693.064","4071","9026.47","2108.344","9026.472","2108.344"
"삼천포풍력","1"," 2024-09-21 00:00:00","510.12","92.952","85.824","213.192","103.464","11.016","7.416","39.312","104.112","80.208","33.696","23.04","26.784","134.136","74.736","26.784","28.008","101.376","332.136","476.928","291.168","70.776","19.08","109.368","2995.632","125","510.12","7.416","510.12","7.416"
"영흥풍력","1"," 2024-09-21 00:00:00","1405.027","1562.388","1791.899","3352.209","3601.271","4738.524","4744.996","4745.766","4682.111","3949.181","3384.634","3521.142","2147.679","2047.785","2766.927","2445.367","2952.874","3477.307","8299.066","8064.46","4860.617","2654.831","2556.355","2996.601","86749.017","3615","8299.06","1405.027","8299.066","1405.027"
"영흥풍력","2"," 2024-09-21 00:00:00","4212.48","4101.12","6420.48","4719.36","2807.04","5207.04","8426.88","9052.8","8747.52","6752.64","4757.76","5088","3287.04","3096.96","3225.6","3642.24","2768.64","2549.76","7009.92","8213.76","4990.08","3580.8","2661.12","3753.6","119072.64","4961","9052.8","2549.76","9052.8","2549.76"
"군위 화산풍력","1"," 2024-09-21 00:00:00","3133.684","2738.358","3394.021","3384.379","1629.516","1166.695","1562.021","771.368","1976.632","1157.053","1455.958","1340.253","183.2","1022.063","144.632","279.621","1185.979","250.695","3230.105","3577.221","3557.937","2285.179","1002.779","289.263","40718.612","1697","3577.22","144.63","3577.221","144.632"
"어음풍력","1"," 2024-09-21 00:00:00","19238.744","19190.64","17974.712","17128.216","18545.296","17562.16","18451.832","18375.56","17717.672","15847.552","18112.528","18877.6","16403.408","15960.784","15955.8","15955.52","16280.488","14136.584","2778.72","4952.08","5283.544","5947.424","5489.568","7146.72","343313.152","14305","19238.74","2778.72","19238.744","2778.72"
"삼천포풍력","1"," 2024-09-20 00:00:00","0","0","0","0","17.136","46.368","95.544","148.608","160.56","252.504","188.856","312.624","411.768","206.136","190.08","401.832","82.296","97.056","254.448","0.36","61.2","73.656","14.184","9.36","3024.576","126","411.76","0.36","411.768","0"
"영흥풍력","1"," 2024-09-20 00:00:00","0","69.967","433.848","50.748","0","0","0","0","0","0.964","309.862","490.674","516.32","2084.574","670.837","850.539","547.206","314.427","441.492","453.812","393.192","44.537","511.795","1721.218","9906.012","413","2084.57","0.964","2084.574","0"
"영흥풍력","2"," 2024-09-20 00:00:00","0","5.76","710.4","115.2","0","1.92","65.28","103.68","213.12","301.44","852.48","1424.64","5168.64","3582.72","3373.44","1559.04","1447.68","518.4","455.04","683.52","470.4","240","412.8","3423.36","25128.96","1047","5168.64","1.92","5168.64","0"
"군위 화산풍력","1"," 2024-09-20 00:00:00","173.558","202.484","289.263","376.042","289.263","269.979","318.189","2217.684","2661.221","2352.674","2439.453","2796.211","3133.684","5746.695","7742.611","5322.442","2786.568","5148.884","2854.063","1137.768","1157.053","578.526","2063.411","1832","53889.726","2245","7742.61","173.558","7742.611","173.558"
"어음풍력","1"," 2024-09-20 00:00:00","15616.72","16039.744","16117.752","16319.8","15533.28","16278.808","13923.784","15575.336","14333.368","18187.288","20027.672","18823.896","17993.808","16688.336","18948.328","18645.032","18562.432","16112.544","18309.144","15941.184","16304.064","19109.328","19446.672","19522.832","412361.152","17182","20027.67","13923.784","20027.672","13923.784"
"삼천포풍력","1"," 2024-09-19 00:00:00","0","0","0","0","0","0.216","0","0","0","0","0","2.448","14.256","4.968","0","0","10.512","14.04","7.848","0","0","0","0","0","54.288","2","14.25","0.216","14.256","0"
"영흥풍력","1"," 2024-09-19 00:00:00","0","35.351","94.433","9.662","25.534","40.382","0","0","0.356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","205.718","9","94.43","0.356","94.433","0"
"영흥풍력","2"," 2024-09-19 00:00:00","0","387.84","362.88","264.96","341.76","370.56","159.36","117.12","266.88","430.08","205.44","0","0","157.44","0","0","0","0","0","0","0","1.92","0","0","3066.24","128","430.08","1.92","430.08","0"
"군위 화산풍력","1"," 2024-09-19 00:00:00","134.989","48.211","9.642","0","48.211","144.632","337.474","212.126","0","0","0","0","0","1986.274","674.947","0","0","0","289.263","212.126","134.989","125.347","144.632","163.916","4666.779","194","1986.27","9.642","1986.274","0"
"어음풍력","1"," 2024-09-19 00:00:00","2104.648","1541.288","25.76","257.488","720.664","2146.648","2105.32","2105.096","1753.976","2103.528","2103.304","2641.744","4149.152","4350.696","6413.904","3837.232","6278.104","6435.016","7224.224","8839.656","10186.4","14307.384","18511.416","12628.168","122770.816","5115","18511.41","25.76","18511.416","25.76"
"삼천포풍력","1"," 2024-09-18 00:00:00","0","0.144","0","0","0","0.288","0","0.144","1.296","4.176","5.04","16.2","7.128","27.936","26.496","52.776","20.304","21.744","8.208","0.072","0","0","0","0","191.952","8","52.77","0.072","52.776","0"
"영흥풍력","1"," 2024-09-18 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","25.376","18.855","0","0","0","0","0","0","0","0","0","0","44.231","2","25.37","18.855","25.376","0"
"영흥풍력","2"," 2024-09-18 00:00:00","0","0","0","13.44","23.04","0","0","0","0","0","0","0","19.2","1599.36","504.96","17.28","0","69.12","0","0","0","0","0","0","2246.4","94","1599.36","13.44","1599.36","0"
"군위 화산풍력","1"," 2024-09-18 00:00:00","134.989","134.989","202.484","19.284","28.926","28.926","28.926","57.853","48.211","0","0","0","0","1995.916","3133.684","1378.821","906.358","752.084","38.568","125.347","250.695","9.642","0","115.705","9391.408","391","3133.68","9.642","3133.684","0"
"어음풍력","1"," 2024-09-18 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","30.52","104.048","894.768","2105.712","1738.296","69.16","0","350.896","1652.28","752.248","1574.216","2104.816","11376.96","474","2105.71","30.52","2105.712","0"
"삼천포풍력","1"," 2024-09-17 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","7.56","17.424","22.248","6.552","30.888","9.936","1.728","0","0","0","0","0","96.336","4","30.88","1.728","30.888","0"
"영흥풍력","1"," 2024-09-17 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.016","31.714","34.885","33.165","0.018","0","102.798","4","34.88","0.018","34.885","0"
"영흥풍력","2"," 2024-09-17 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","11.52","57.6","714.24","1898.88","2835.84","1766.4","420.48","378.24","168.96","412.8","21.12","0","8686.08","362","2835.84","11.52","2835.84","0"
"군위 화산풍력","1"," 2024-09-17 00:00:00","0","0","0","0","0","0","0","28.926","38.568","9.642","0","0","0","1909.137","173.558","0","0","28.926","279.621","173.558","192.842","144.632","192.842","183.2","3355.452","140","1909.13","9.642","1909.137","0"
"어음풍력","1"," 2024-09-17 00:00:00","0","0","7.336","908.6","1591.8","0.112","0","0","0","0","0","0","0","0","0","0","0","0.168","0","0","397.936","29.568","48.16","2.576","2986.256","124","1591.8","0.112","1591.8","0"
"삼천포풍력","1"," 2024-09-16 00:00:00","31.752","15.984","18.576","31.752","46.44","36.216","36.144","22.536","38.448","31.032","29.448","4.968","14.472","0.864","0.216","1.44","6.408","0","0","0","1.44","0","0","0","368.136","15","46.44","0.216","46.44","0"
"영흥풍력","1"," 2024-09-16 00:00:00","2230.716","1993.931","2410.369","2980.829","2796.801","3728.138","2061.629","1386.734","1241.012","780.265","121.209","50.98","48.657","3565.257","2803.067","36.429","0","0","0","0","0.157","0","0","0","28236.18","1177","3728.13","0.157","3728.138","0"
