"발전구분","호기","일자","1시 발전량(MWh)","2시 발전량(MWh)","3시 발전량(MWh)","4시 발전량(MWh)","5시 발전량(MWh)","6시 발전량(MWh)","7시 발전량(MWh)","8시 발전량(MWh)","9시 발전량(MWh)","10시 발전량(MWh)","11시 발전량(MWh)","12시 발전량(MWh)","13시 발전량(MWh)","14시 발전량(MWh)","15시 발전량(MWh)","16시 발전량(MWh)","17시 발전량(MWh)","18시 발전량(MWh)","19시 발전량(MWh)","20시 발전량(MWh)","21시 발전량(MWh)","22시 발전량(MWh)","23시 발전량(MWh)","24시 발전량(MWh)","총량(KW)","평균(KW)","최대(시간별)","최소(시간별)","최대","최소"
"영흥풍력","2"," 2025-05-28 00:00:00","195.84","122.88","0","0","0","15.36","15.36","21.12","55.68","21.12","332.16","0","0","5.76","232.32","389.76","293.76","337.92","480","491.52","952.32","226.56","3.84","247.68","4440.96","185","952.32","3.84","952.32","0"
"군위 화산풍력","1"," 2025-05-28 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","674.947","2391.242","2622.653","289.263","511.032","48.211","0","0","6537.348","272","2622.65","48.211","2622.653","0"
"어음풍력","1"," 2025-05-28 00:00:00","2398.984","777.392","1073.744","1270.64","1545.936","3192.672","3189.984","3189.76","2335.536","42.504","49.616","24.864","306.264","127.008","73.024","213.416","35.784","0.336","9.296","0","0","76.664","1047.312","69.72","21050.456","877","3192.67","0.336","3192.672","0"
"삼천포풍력","1"," 2025-05-27 00:00:00","0","0","0","0","0","0","0","0","0","0","16.056","22.464","23.328","45.072","41.472","30.24","77.976","114.768","34.848","35.064","2.448","3.024","0","0","446.76","19","114.76","2.448","114.768","0"
"영흥풍력","1"," 2025-05-27 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.878","0","0","10.878","0","10.87","10.878","10.878","0"
"영흥풍력","2"," 2025-05-27 00:00:00","111.36","13.44","0","0","99.84","334.08","447.36","466.56","320.64","111.36","0","0","0","0","0","26.88","140.16","320.64","57.6","72.96","1.92","0","15.36","1.92","2542.08","106","466.56","1.92","466.56","0"
"군위 화산풍력","1"," 2025-05-27 00:00:00","67.495","0","0","0","0","0","0","0","0","0","0","0","0","38.568","77.137","106.063","9.642","0","0","0","0","0","0","0","298.905","12","106.06","9.642","106.063","0"
"어음풍력","1"," 2025-05-27 00:00:00","0","0","0","213.08","1241.352","1570.464","628.6","15.008","0.112","0","61.152","97.832","677.544","526.96","481.656","753.816","365.624","304.36","174.272","628.544","734.552","605.696","703.192","2352.952","12136.768","506","2352.95","0.112","2352.952","0"
"삼천포풍력","1"," 2025-05-26 00:00:00","0","0","0","0","0","0","0","0","0","0","0","11.52","46.872","62.496","62.208","121.464","92.736","61.2","43.92","18","4.824","9.216","0","0","534.456","22","121.46","4.824","121.464","0"
"영흥풍력","1"," 2025-05-26 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"영흥풍력","2"," 2025-05-26 00:00:00","5.76","42.24","0","26.88","178.56","168.96","42.24","0","0","1207.68","614.4","0","0","0","0","76.8","326.4","136.32","82.56","192","193.92","205.44","1.92","15.36","3517.44","147","1207.68","1.92","1207.68","0"
"군위 화산풍력","1"," 2025-05-26 00:00:00","9.642","9.642","67.495","96.421","9.642","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.568","433.895","511.032","260.337","96.421","1533.095","64","511.03","9.642","511.032","0"
"어음풍력","1"," 2025-05-26 00:00:00","665.392","742.112","256.648","525.28","40.152","18.48","0","0","0","0","0","93.632","604.744","529.424","528.416","328.328","252.84","56.728","0","20.664","74.648","0.056","12.712","176.904","4927.16","205","742.11","0.056","742.112","0"
"삼천포풍력","1"," 2025-05-25 00:00:00","22.824","40.68","8.208","8.712","25.056","2.088","0","0","0","0.864","0","10.728","75.6","148.176","175.176","215.712","172.224","135.792","101.88","74.304","77.4","43.848","0","0","1339.272","56","215.71","0.864","215.712","0"
"영흥풍력","1"," 2025-05-25 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.699","128.14","132.401","197.403","94.683","0","0","561.326","23","197.4","8.699","197.403","0"
"영흥풍력","2"," 2025-05-25 00:00:00","57.6","0","0","0","9.6","0","0","0","0","1121.28","0","36.48","97.92","149.76","42.24","21.12","1.92","203.52","625.92","837.12","869.76","773.76","418.56","28.8","5295.36","221","1121.28","1.92","1121.28","0"
"군위 화산풍력","1"," 2025-05-25 00:00:00","0","0","9.642","0","0","19.284","77.137","57.853","28.926","0","0","0","0","0","38.568","0","115.705","48.211","9.642","67.495","0","0","0","0","472.463","20","115.7","9.642","115.705","0"
"어음풍력","1"," 2025-05-25 00:00:00","3051.328","2756.936","2834.776","3518.648","5682.096","5604.592","6187.664","5493.88","5042.52","5074.216","3998.68","1691.592","879.872","1224.216","771.064","1032.808","1495.368","428.232","195.048","183.064","103.88","766.08","1897.448","1191.456","61105.464","2546","6187.66","103.88","6187.664","103.88"
"삼천포풍력","1"," 2025-05-24 00:00:00","1.296","5.256","66.672","12.6","14.112","13.176","25.488","46.728","63.576","81.072","95.616","56.448","22.896","0","0","3.312","81.072","108.144","50.76","50.328","96.192","51.912","12.168","21.384","980.208","41","108.14","1.296","108.144","0"
"영흥풍력","1"," 2025-05-24 00:00:00","82.439","38.666","40.459","400.5","375.222","15.584","140.424","301.894","148.291","204.307","0","44.008","96.188","86.122","8.526","0","0","0","0","0","0","0","0","0","1982.63","83","400.5","8.526","400.5","0"
"영흥풍력","2"," 2025-05-24 00:00:00","2868.48","1975.68","2117.76","3876.48","4016.64","2213.76","1681.92","1726.08","2227.2","2348.16","2286.72","925.44","1286.4","1034.88","946.56","449.28","57.6","167.04","44.16","7.68","0","9.6","168.96","299.52","32736","1364","4016.64","7.68","4016.64","0"
"군위 화산풍력","1"," 2025-05-24 00:00:00","482.105","597.811","308.547","0","0","0","0","173.558","57.853","0","0","0","0","19.284","279.621","86.779","221.768","453.179","298.905","597.811","212.126","106.063","0","0","3895.41","162","597.81","19.284","597.811","0"
"어음풍력","1"," 2025-05-24 00:00:00","0","1.12","124.712","1719.984","10928.568","16955.736","16956.912","15861.496","16438.408","13618.808","12437.992","10196.032","7415.464","4463.704","1900.248","3319.736","2908.808","3260.264","1444.184","2251.424","3161.088","2963.576","1651.832","1903.384","151883.48","6328","16956.91","1.12","16956.912","0"
"삼천포풍력","1"," 2025-05-23 00:00:00","0.072","8.856","13.104","4.032","0","18.72","2.232","0","3.528","16.776","8.424","3.096","0","23.688","30.384","18","41.328","26.28","58.968","173.664","56.448","25.776","6.912","20.736","561.024","23","173.66","0.072","173.664","0"
"영흥풍력","1"," 2025-05-23 00:00:00","378.056","382.722","463.684","396.431","181.091","0","1.255","248.849","164.373","480.806","0","104.056","2.74","0","0","0","0","0","0","0","135.333","0","0","0","2939.396","122","480.8","1.255","480.806","0"
"영흥풍력","2"," 2025-05-23 00:00:00","4713.6","4417.92","5629.44","5059.2","4575.36","1127.04","1117.44","1745.28","1647.36","1509.12","1509.12","2319.36","1804.8","1893.12","923.52","1006.08","516.48","15.36","0","224.64","602.88","222.72","15.36","1090.56","43685.76","1820","5629.44","15.36","5629.44","0"
"군위 화산풍력","1"," 2025-05-23 00:00:00","308.547","433.895","414.611","9.642","48.211","28.926","636.379","655.663","424.253","192.842","19.284","0","19.284","0","77.137","115.705","115.705","482.105","790.653","173.558","559.242","491.747","453.179","212.126","6662.694","278","790.65","9.642","790.653","0"
"어음풍력","1"," 2025-05-23 00:00:00","0","0","1.68","0","0","0","0","0","0","0","0","0","0","9.856","0","0","0","0","0","0","0","0","0","0","11.536","0","9.85","1.68","9.856","0"
"삼천포풍력","1"," 2025-05-22 00:00:00","0.72","0","0","0","9.648","0.144","0","0","3.168","55.08","85.032","68.112","75.312","68.328","45.144","0","0","0","0.144","30.672","12.456","0.072","0","0","454.032","19","85.03","0.072","85.032","0"
