설비용량(MW),연식(년),기온(°C),풍속(m/s)_cubed,습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),풍향_sin,풍향_cos,시간_sin,시간_cos,월_sin,월_cos,블레이드,air_density,absolute_humidity,계절_encoded,실제,예측,오차,절대오차,발전구분
2.0,12.38603696,7.5,2.7439999999999993,63.0,6.5,0.8,1014.9,-0.342020143,-0.939692621,-1.0,-1.84e-16,0.5,0.866025404,40.0,1.256733907,5.163095414,1,1998.0,1089.5623606202716,908.4376393797284,908.4376393797284,성산풍력
2.0,19.21149897,12.6,0.5120000000000001,79.0,11.5,9.0,1014.7,0.766044443,0.64278761,0.707106781,-0.707106781,-0.5,0.866025404,40.0,1.231761046,8.842496707,1,1288.833333,380.40882980742026,908.4245031925798,908.4245031925798,성산풍력
2.0,12.3394935,25.2,4.096000000000001,89.0,28.4,23.2,1005.7,-1.0,-1.84e-16,0.866025404,0.5,-0.5,-0.866025404,40.0,1.161723954,20.84932054,3,1086.5,178.75043706397992,907.7495629360201,907.7495629360201,성산풍력
2.0,20.29842574,6.4,2.7439999999999993,50.0,4.8,-3.2,1017.4,-1.0,-1.84e-16,-0.258819045,0.965925826,0.0,1.0,40.0,1.265606487,3.860453195,1,1414.333333,506.61965402320493,907.7136789767951,907.7136789767951,성산풍력
2.0,10.55715264,16.5,6.858999999999999,69.0,12.9,10.7,1010.5,-2.45e-16,1.0,0.965925826,-0.258819045,-1.0,-1.84e-16,40.0,1.209476514,9.872924953,0,1749.0,841.5276561693172,907.4723438306828,907.4723438306828,성산풍력
4.2,0.2,8.9,103.82300000000001,54.0,6.1,0.0,1016.3,-1.0,-1.84e-16,-0.965925826,-0.258819045,0.0,1.0,68.0,1.252399939,4.881648435,1,91.9632,999.3398962714564,-907.3766962714564,907.3766962714564,어음풍력
2.0,15.33744011,2.7,0.008000000000000002,63.0,4.7,-3.6,1019.1,0.0,1.0,1.0,6.12e-17,0.5,0.866025404,40.0,1.28479164,3.760264994,1,1898.833333,991.6154811731249,907.2178518268752,907.2178518268752,성산풍력
2.0,13.84257358,4.1,2.7439999999999993,69.0,5.7,-1.0,1021.7,-2.45e-16,1.0,0.965925826,0.258819045,0.5,0.866025404,40.0,1.281106973,4.502131999,1,1997.5,1090.2928161565214,907.2071838434786,907.2071838434786,성산풍력
3.0,11.72073922,25.6,830.5840000000001,96.0,31.5,24.9,999.2,-0.939692621,-0.342020143,0.965925826,0.258819045,-0.5,-0.866025404,45.0,1.151273125,22.90800343,3,1678.4,771.2056049133498,907.1943950866503,907.1943950866503,한경풍력
4.2,0.8,30.0,42.875,69.0,29.1,23.6,1001.0,-2.45e-16,1.0,1.22e-16,-1.0,-0.5,-0.866025404,68.0,1.137595625,21.35791253,3,1215.312,308.19799689680804,907.1140031031919,907.1140031031919,어음풍력
3.0,7.849418207,23.5,157.46400000000003,89.0,25.6,21.5,1005.2,0.766044443,0.64278761,-0.258819045,0.965925826,-1.0,-1.84e-16,45.0,1.169021721,18.93604011,0,2115.4,1208.29089652533,907.1091034746701,907.1091034746701,한경풍력
4.2,0.4,15.3,328.50900000000007,35.0,6.1,0.0,1015.6,-0.939692621,0.342020143,-0.5,-0.866025404,0.866025404,0.5,68.0,1.223800549,4.823965266,2,907.144,1814.1585998183,-907.0145998183,907.0145998183,어음풍력
2.0,19.53456537,15.4,0.008000000000000002,44.0,7.6,3.1,1010.8,0.0,1.0,-0.866025404,0.5,1.0,6.12e-17,40.0,1.216845295,6.029685638,2,4.666666667,911.6417233261745,-906.9750566591746,906.9750566591746,성산풍력
3.0,13.83436003,22.6,10218.312999999998,100.0,27.2,22.5,992.5,-0.342020143,0.939692621,-0.258819045,0.965925826,-1.0,-1.84e-16,45.0,1.156885437,20.08503461,0,1396.8,490.5351699885505,906.2648300114495,906.2648300114495,한경풍력
2.0,17.15811088,23.3,12.166999999999998,75.0,21.4,18.6,1003.7,-0.766044443,-0.64278761,-0.866025404,-0.5,0.866025404,-0.5,40.0,1.169963678,15.91925507,2,1063.75,157.62125522841234,906.1287447715877,906.1287447715877,성산풍력
1.5,19.38398357,10.5,2406.1040000000003,58.0,7.3,2.5,1015.6,-0.342020143,0.939692621,-0.5,-0.866025404,-0.866025404,0.5,36.0,1.24391623,5.783560486,0,92.5,998.4855148633942,-905.9855148633942,905.9855148633942,한경풍력
2.0,18.33538672,28.8,8.0,92.0,36.3,27.3,994.8,1.22e-16,-1.0,-0.5,-0.866025404,-0.5,-0.866025404,40.0,1.131845828,26.27053839,3,1471.25,565.4278002193605,905.8221997806395,905.8221997806395,성산풍력
2.0,24.38056126,8.8,35.937,39.0,4.4,-4.4,1018.3,1.22e-16,-1.0,1.22e-16,-1.0,0.5,0.866025404,40.0,1.256127689,3.562350591,1,0.0,905.8125639370992,-905.8125639370992,905.8125639370992,성산풍력
2.0,23.41409993,5.4,2.197,64.0,5.8,-0.8,1014.4,0.342020143,0.939692621,0.866025404,-0.5,0.866025404,0.5,40.0,1.265956362,4.569081289,2,1494.666667,588.8656413942808,905.8010256057191,905.8010256057191,성산풍력
